unsup_all_3clusters,unsup_economic_3clusters,unsup_creative_3clusters,global_innovation_index,global_innovation_index_3clusters,gii_innovation_output_x,gii_innovation_output_3clusters,supervised_prediction,supervised_prediction_3clusters,gii_human_capital,gii_domestic_credit,mobile_subscriptions,broadband_subscriptions_per100,gii_ict_services_imports,diversity_ethnicFractionalization,diversity_linguisticFractionalization,diversity_religiousFractionalization,literacy_rate,electrification,gii_scientific_publications,rd_in_gdp,creative_svc_audiovisual,creative_svc_other_personal_cultural_recreational,creative_svc_advertising_mktresearch_polling,creative_svc_architectural_engineering_technical,creative_svc_personal_cultural_recreational,creative_svc_research,rural_population,school_enrollment_tertiary,gii_creative_services,gii_rule_of_law,population,mortality_rate,secure_internet_servers,gii_institutions,gii_top_level_domains,gii_patent_applications,feature_films_produced,gii_patent_families,gii_mobile_apps,gii_research_talent_in_business,cultural_occupation,gii_creative_goods,life_expectancy,ease_of_business,gii_wikipedia_edits,gii_ict_access,gii_stem_assessment,poverty_ratio,foreign_investment,total_hospital_density_per_100k,gii_university_industry,gii_innovation_output_y,gdp_per_capta_usd
0,0,0,24.0,0.0,15.5,0.0,17.07080818,0.0,28.2,52.1,15.169106227297876,0.12209694433333332,1.1,0.6932,0.6871,0.5395,58.262981999999994,32.139832533888885,6.8,0.4982216666666667,0.2288286028333333,0.26841625963750004,0.6901705579999999,1.29678962,0.5081323985,0.7565329588680556,64.68083333333334,3.5778956296249995,0.4,0.0,8008710.322033897,43.86666666666667,4.838353521044998,62.9,8.4,0.9,25.0,0.1,0.1,28.45,0.885,0.4,62.7678,151.0,6.1,6.75,474.4,41.23333333333333,1.807889631074074,0.79,3.5,23.5,1259.07059
1,1,0,33.0,1.0,22.3,1.0,21.77608779,1.0,30.4,52.1,31.878287941702126,4.071443595583332,1.1,0.3995,0.33295,0.461,85.44593056844447,96.98333333333336,6.8,0.4982216666666667,0.2288286028333333,0.26841625963750004,0.6901705579999999,1.29678962,0.5081323985,0.7565329588680556,41.218833333333336,16.816667416959184,0.4,0.0,6987933.7796610175,15.308333333333335,199.38265370786496,62.9,8.4,0.9,25.0,0.1,0.1,28.45,0.885,0.4,73.64059999999998,96.0,9.4,6.75,474.4,9.796271929824565,2.1161067391836736,1.09,3.5,23.5,6569.827022500001
2,2,2,53.9,2.0,44.3,2.0,44.93969855,2.0,52.4,105.7,45.7660024814468,21.113807488666662,1.8,0.1211,0.1657,0.4191,85.0472853118372,100.0,20.8,1.986312,0.33098054877777777,0.26841625963750004,0.8238312217142857,1.4826673104444446,0.6332822646,0.8827759872222223,18.721166666666665,42.45466495086957,0.8,1.6,8613226.830508474,3.1166666666666667,6691.186295818668,86.0,113.9,5.6,53.14285714285714,2.3,0.5,54.1,1.145,1.6,81.528784,27.0,53.7,8.3,502.5,0.2500000000000001,2.3115690427142863,1.09,4.8,44.3,43303.83288333333
