country_iso,clusters_3,clusters_4,clusters_5,clusters_6,clusters_7,clusters_8
PRY,0,0,1,0,0,1
PSE,0,0,3,4,6,2
PSS,0,0,1,4,0,1
PST,0,0,3,5,6,2
PYF,0,0,1,4,0,3
QAT,2,3,4,5,6,4
REU,0,0,3,0,0,1
ROU,2,3,3,5,3,4
RUS,2,3,4,2,3,0
RWA,0,0,1,4,0,1
SAS,0,0,1,4,0,1
SAU,0,0,3,5,6,2
SDN,0,0,1,4,0,3
SEN,0,0,1,4,0,3
SGP,2,3,4,5,3,4
SLB,0,0,1,3,0,6
SLE,0,0,1,4,0,3
SLV,0,0,3,0,0,1
SMR,2,3,3,5,6,2
SOM,0,0,1,0,0,1
SRB,2,3,4,2,3,0
SSA,0,0,1,4,0,1
SSD,0,0,1,4,0,1
SSF,0,0,1,4,0,1
SST,0,0,1,4,0,1
STP,0,0,1,0,0,1
SUR,0,0,1,4,0,2
SVK,2,0,0,3,6,5
SVN,2,3,4,2,3,0
SWE,2,3,4,2,3,0
SWZ,0,0,1,4,0,1
SXM,2,3,3,5,6,2
SYC,2,3,4,5,3,2
SYR,0,0,1,4,0,1
TCA,0,0,1,4,0,1
TCD,0,0,1,4,0,3
TEA,0,2,2,4,2,1
TEC,0,0,3,5,6,2
TGO,0,0,1,4,0,3
THA,0,0,0,0,0,5
TJK,0,0,1,0,0,1
TKM,0,0,1,0,0,1
TLA,0,0,3,4,6,2
TLS,0,0,1,4,0,1
TMN,0,0,1,4,0,1
TON,0,0,1,4,0,3
TSA,0,0,1,4,0,1
TSS,0,0,1,4,0,1
TTO,0,0,1,4,0,2
TUN,0,0,3,0,0,1
TUR,0,0,0,3,0,6
TUV,0,0,1,0,0,1
TWN,0,0,1,4,0,3
TZA,0,0,1,4,0,3
UGA,0,0,1,4,0,3
UKR,0,0,3,5,6,2
UMC,0,2,2,4,2,1
URY,0,0,3,5,6,4
USA,1,1,4,2,1,0
UZB,0,0,1,0,0,1
VAT,0,0,1,4,0,1
VCT,0,0,3,4,0,1
VEN,0,0,3,0,0,1
VGB,2,3,4,5,3,0
VIR,0,0,1,4,0,1
VNM,0,0,0,0,0,5
VUT,0,0,1,4,0,3
WLD,0,2,2,4,2,1
WSM,0,0,1,4,0,1
XKX,0,0,1,4,0,1
YEM,0,0,1,0,0,1
ZAF,0,0,1,4,0,3
ZMB,0,0,0,3,0,6
ZWE,0,0,1,4,0,3
