country_iso,clusters_3,clusters_4,clusters_5,clusters_6,clusters_7,clusters_8
PRY,1,0,0,0,0,0
PSE,1,0,0,0,0,0
PSS,1,0,0,0,0,0
PST,1,0,0,0,0,0
PYF,1,0,0,0,0,0
QAT,1,0,0,0,0,0
REU,1,0,0,0,0,0
ROU,2,3,2,2,2,3
RUS,2,3,2,2,2,3
RWA,1,0,0,0,0,0
SAS,1,0,0,0,0,0
SAU,1,0,0,0,0,0
SDN,1,0,0,0,0,0
SEN,1,0,0,0,0,0
SGP,1,0,0,5,5,0
SLB,1,0,3,3,3,6
SLE,1,0,0,0,0,0
SLV,1,0,0,0,0,0
SMR,1,0,0,0,0,0
SOM,1,0,0,0,0,0
SRB,2,3,3,3,3,3
SSA,1,0,0,0,0,0
SSD,1,0,0,0,0,0
SSF,1,0,0,0,0,0
SST,1,0,0,0,0,0
STP,1,0,0,0,0,0
SUR,1,0,0,0,0,0
SVK,0,0,3,5,5,5
SVN,2,3,2,2,2,3
SWE,2,3,2,2,2,4
SWZ,2,3,2,2,2,4
SXM,1,0,0,0,0,0
SYC,1,0,0,0,0,0
SYR,1,0,0,0,0,0
TCA,1,0,0,0,0,0
TCD,1,0,0,0,0,0
TEA,1,0,0,0,0,0
TEC,1,0,0,0,0,0
TGO,1,0,0,0,0,0
THA,0,0,0,5,5,5
TJK,1,0,0,0,0,0
TKM,1,0,0,0,0,0
TLA,1,0,0,0,0,0
TLS,1,0,0,0,0,0
TMN,1,0,0,0,0,0
TON,1,0,0,0,0,0
TSA,1,0,0,0,0,0
TSS,1,0,0,0,0,0
TTO,1,0,0,0,0,0
TUN,1,0,0,0,0,0
TUR,1,0,3,3,3,6
TUV,1,0,0,0,0,0
TWN,1,0,0,0,0,0
TZA,1,0,0,0,0,0
UGA,1,0,0,0,0,0
UKR,1,0,0,0,0,0
UMC,1,0,0,0,0,0
URY,1,0,0,0,0,0
USA,0,1,1,1,2,4
UZB,1,0,0,0,0,0
VAT,1,0,0,0,0,0
VCT,1,0,0,0,0,0
VEN,1,0,0,0,0,0
VGB,1,0,0,0,0,0
VIR,1,0,0,0,0,0
VNM,1,0,0,5,5,5
VUT,1,0,0,0,0,0
WLD,1,0,0,0,0,0
WSM,1,0,0,0,0,0
XKX,1,0,0,0,0,0
YEM,1,0,0,0,0,0
ZAF,1,0,0,0,0,0
ZMB,1,0,3,3,3,6
ZWE,1,0,0,0,0,0
