Indicator,,GDP (current US$),,,,,,
Time,,2013,2014,2015,2016,2017,2018,2019
French Guiana,,..,..,..,..,..,..,..
French Polynesia,,..,..,..,..,..,..,..
Gabon,,17590745162,18179752010,14377324798,14014369642,14892609693,17017401832,..
Gambia,,1367041585,1259063631,1394149616,1442298542,1489464788,1624464137,..
Georgia,,16140014428,16509316418,13993566298,14378036929,15081330942,16209818081,..
Germany,,3.75251E+12,3.89873E+12,3.38139E+12,3.49516E+12,3.6932E+12,3.99676E+12,..
Ghana,,63277216921,53601126665,49181854795,55009730589,58996776244,65556464056,..
Gibraltar,,..,..,..,..,..,..,..
Greece,,2.39862E+11,2.3703E+11,1.96591E+11,1.95222E+11,2.03086E+11,2.18032E+11,..
Greenland,,2684952727,2842048998,2499115623,2713534471,..,..,..
Grenada,,842620111.1,911497407.4,997007925.9,1061631222,1126882296,1207454556,..
Guadeloupe,,..,..,..,..,..,..,..
Guam,,5336000000,5538000000,5710000000,5793000000,5859000000,..,..
Guatemala,,53851148432,58722323918,63767597194,68663653469,75620095538,78460447920,..
Guinea,,8376613843,8778473615,8794202444,8604520929,9915311049,10989790256,..
Guinea-Bissau,,1045790133,1053512334,1047808175,1178204501,1346841897,1458156026,..
Guyana,,2987684170,3077643314,3197225182,3504024213,3555205811,3610435299,..
Haiti,,8452509316,8776350790,8724656126,7975563430,8408252995,9658084644,..
Holy See,,..,..,..,..,..,..,..
Honduras,,18372173611,19618567447,20833948912,21566622850,22940179174,23803230473,..
Hungary,,1.35221E+11,1.40083E+11,1.23074E+11,1.26008E+11,1.39761E+11,1.55703E+11,..
Iceland,,16033517529,17758089312,17344165907,20716024757,24489493459,25882218777,..
India,,1.85672E+12,2.03913E+12,2.10359E+12,2.29043E+12,2.65255E+12,2.72632E+12,..
Indonesia,,9.12524E+11,8.90815E+11,8.60854E+11,9.31877E+11,1.01542E+12,1.04217E+12,..
Iran (Islamic Republic of),,4.67415E+11,4.34475E+11,3.85874E+11,4.18977E+11,4.54013E+11,..,..
Iraq,,2.34648E+11,2.34648E+11,1.77499E+11,1.7022E+11,1.93159E+11,2.25914E+11,..
Ireland,,2.38544E+11,2.58472E+11,2.915E+11,3.00523E+11,3.34834E+11,3.82487E+11,..
Isle of Man,,6754330155,7428280402,6792417112,6592627599,..,..,..
Israel,,2.92917E+11,3.10008E+11,3.00471E+11,3.19378E+11,3.53268E+11,3.6969E+11,..
Italy,,2.13049E+12,2.15173E+12,1.83227E+12,1.8692E+12,1.94657E+12,2.0739E+12,..
Jamaica,,14193012191,13852192273,14145469269,14072135209,14781107822,15717858487,..
Japan,,5.15572E+12,4.85041E+12,4.38948E+12,4.92667E+12,4.85995E+12,4.97092E+12,..
Jordan,,33675599436,36104372355,37968970381,39252468265,40765867419,42290832158,..
Kazakhstan,,2.36635E+11,2.21416E+11,1.84388E+11,1.37278E+11,1.62887E+11,1.70539E+11,..
Kenya,,55096728048,61448046802,64007750179,69188755511,78757391333,87908262520,..
