"Exports and imports of creative services, annual, 2003-2012 (Discontinued)",,,,,,,,,,,
,,,,,,,,,,,
MEASURE,Percentage of total trade in services,FLOW,Exports,,,,,,,,
,,,,,,,,,,,
,YEAR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Chile,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Chile,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Chile,Research and Development,..,..,..,..,..,..,..,..,..,..
Chile,"Personal, cultural and recreational services",1.333397771,0.966241222,0.969993286,1.001223434,0.942737913,1.021859842,0.170930067,0.260504969,0.20029543,0.245887487
Chile,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Chile,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
China,"Advertising, market research and public opinion polling",1.039914713,1.307333365,1.445793982,1.570582353,1.564792236,1.497056624,1.786088887,1.779205563,2.27745281,2.481790538
China,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
China,Research and Development,..,..,..,..,..,..,..,..,..,..
China,"Personal, cultural and recreational services",0.071520989,0.063150776,0.179908097,0.149373954,0.258812988,0.284102372,0.075120695,0.075796223,0.069592051,0.065600337
China,  Audiovisual and related services,0.071520989,0.063150776,0.179908097,0.149373954,0.258812988,0.284102372,0.075120695,0.075796223,0.069592051,0.065600337
China,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
"China, Hong Kong SAR","Advertising, market research and public opinion polling",1.119419019,0.948150834,0.830455259,0.760231506,0.721258839,0.660988666,0.748516541,0.626324079,0.620030605,..
"China, Hong Kong SAR","Architectural, engineering and other technical services",0.163293369,0.215736041,0.208791209,0.210335299,0.292753178,0.44427107,0.548942669,0.463279219,0.405777184,..
"China, Hong Kong SAR",Research and Development,..,..,..,..,..,..,..,..,..,..
"China, Hong Kong SAR","Personal, cultural and recreational services",0.294357784,0.525743292,0.423861852,0.384927345,0.321084131,0.287150814,0.464654639,0.409467482,0.399903858,-
"China, Hong Kong SAR",  Audiovisual and related services,0.186927936,0.464104424,0.384615385,0.354683054,0.293933635,0.247058059,0.134525382,0.107500677,0.093314525,-
"China, Hong Kong SAR","  Other other personal, cultural and recreational services",0.107429848,0.061638869,0.039246468,0.030244291,0.02597004,0.040092755,0.330129537,0.301967212,0.306698426,..
"China, Macao SAR","Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
"China, Macao SAR","Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
"China, Macao SAR",Research and Development,..,..,..,..,..,..,..,..,..,..
"China, Macao SAR","Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
"China, Macao SAR",  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
"China, Macao SAR","  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
"China, Taiwan Province of","Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
"China, Taiwan Province of","Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
"China, Taiwan Province of",Research and Development,..,..,..,..,..,..,..,..,..,..
"China, Taiwan Province of","Personal, cultural and recreational services",0.172666839,0.19000349,0.236186936,0.25963378,0.21330289,0.268809905,0.273808775,0.242832718,0.296167247,0.313875754
"China, Taiwan Province of",  Audiovisual and related services,0.146766813,0.15510489,0.193595849,0.215222739,0.153217569,0.206359119,0.191980865,0.173451941,0.222125436,..
"China, Taiwan Province of","  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Colombia,"Advertising, market research and public opinion polling",0.668991724,0.824568784,0.88302662,0.743426507,0.658247204,0.692095551,1.162620256,1.068207682,0.931266652,0.925422299
Colombia,"Architectural, engineering and other technical services",2.019728281,2.630914687,2.91734301,4.643965415,4.049152645,6.540150678,5.157466169,4.828108906,3.783979907,4.632073545
Colombia,Research and Development,..,..,..,..,..,..,..,..,..,..
Colombia,"Personal, cultural and recreational services",1.620998386,1.714589376,1.553834446,1.360594575,1.054312133,1.081432532,0.725736409,1.893658269,1.774420756,1.612990647
Colombia,  Audiovisual and related services,1.065223049,1.148506521,0.90128321,0.818044534,0.576591988,0.581370897,0.503558605,0.63273375,0.711572149,0.513362228
Colombia,"  Other other personal, cultural and recreational services",0.555775337,0.566082855,0.652588724,0.542550042,0.477720145,0.500061635,0.222177804,1.260947009,1.062848607,1.099628419
Comoros,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Comoros,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Comoros,Research and Development,..,..,..,..,..,..,..,..,..,..
Comoros,"Personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,-
Comoros,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Comoros,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Congo,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Congo,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Congo,Research and Development,..,..,..,..,..,..,..,..,..,..
Congo,"Personal, cultural and recreational services",4.787176488,5.486236107,-,-,-,-,-,-,-,-
Congo,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Congo,"  Other other personal, cultural and recreational services",4.787176488,5.486236107,..,..,..,..,..,..,..,..
Cook Islands,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Cook Islands,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Cook Islands,Research and Development,..,..,..,..,..,..,..,..,..,..
Cook Islands,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Cook Islands,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Cook Islands,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Costa Rica,"Advertising, market research and public opinion polling",0.11988877,0.095680761,0.087619585,0.059663622,0.08468087,0.081355368,0.068885667,0.052245588,0.031780835,..
Costa Rica,"Architectural, engineering and other technical services",..,..,..,..,..,..,0.001335964,0.001111116,0.007855036,..
Costa Rica,Research and Development,..,..,0.012053892,..,..,0.054734873,0.044198157,0.116204188,0.195514253,..
Costa Rica,"Personal, cultural and recreational services",0.005096386,0.004639067,0.004424846,0.00410545,0.003547138,0.003183684,0.003729567,0.003148161,0.002865485,0.004655313
Costa Rica,  Audiovisual and related services,0.005096386,0.004639067,0.003967104,0.003600681,0.003096707,0.002791846,0.003256413,0.002762049,0.002504795,0.004069328
Costa Rica,"  Other other personal, cultural and recreational services",..,..,0.000457743,0.000504768,0.000422278,0.000391838,0.000445322,0.003148161,0.00036069,..
Côte d'Ivoire,"Advertising, market research and public opinion polling",0.647747793,0.629174063,0.587544207,0.591435026,0.592808698,0.591117618,0.568450182,0.538233714,..,..
Côte d'Ivoire,"Architectural, engineering and other technical services",0.039157039,0.024385575,0.032074076,0.03741611,0.03515481,0.038360176,0.084272911,0.049234523,..,..
Côte d'Ivoire,Research and Development,..,..,..,..,..,..,..,0.013479743,..,..
Côte d'Ivoire,"Personal, cultural and recreational services",0.00602416,-,0.00504536,-,-,-,-,-,-,-
Côte d'Ivoire,  Audiovisual and related services,..,..,0.00504536,..,..,..,..,..,..,..
Côte d'Ivoire,"  Other other personal, cultural and recreational services",0.00602416,..,..,..,..,..,..,..,..,..
Croatia,"Advertising, market research and public opinion polling",1.847663084,2.054024713,1.914128994,2.034974567,1.804317494,1.769280788,2.033614639,2.029435267,2.453743481,..
Croatia,"Architectural, engineering and other technical services",1.489887113,1.812472377,2.030493139,2.036614476,2.205773312,2.51517699,2.658476875,2.948343838,2.916976426,..
Croatia,Research and Development,0.16787707,0.202751183,0.195625807,0.202519232,0.21490664,0.508255295,0.39525852,0.780670274,0.91312401,..
Croatia,"Personal, cultural and recreational services",0.389169041,0.313836245,0.288388559,0.465460417,0.523835811,0.865413262,0.816810969,0.775956035,0.452868534,0.409967843
Croatia,  Audiovisual and related services,0.110272536,0.056425494,0.074200203,0.160050241,0.155214665,0.168962536,0.189061692,0.141367075,0.156871856,-
Croatia,"  Other other personal, cultural and recreational services",0.278896504,0.257415379,0.214177049,0.30541399,0.368622971,0.697818915,0.627753498,0.634590385,0.295988872,..
Cuba,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Cuba,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Cuba,Research and Development,..,..,..,..,..,..,..,..,..,..
Cuba,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Cuba,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Cuba,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Curaçao,"Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,..,..
Curaçao,"Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,..,..
Curaçao,Research and Development,_,_,_,_,_,_,_,_,..,..
Curaçao,"Personal, cultural and recreational services",_,_,_,_,_,_,_,_,0.009532656,-
Curaçao,  Audiovisual and related services,_,_,_,_,_,_,_,_,..,..
Curaçao,"  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,..,..
Cyprus,"Advertising, market research and public opinion polling",0.40511698,0.645788833,0.801197957,1.083088526,0.905230497,0.596965381,0.415460759,0.393433458,1.101881384,..
Cyprus,"Architectural, engineering and other technical services",0.125266681,0.184279947,0.241577256,0.29328188,0.346977804,0.203725452,0.395742752,0.212087856,0.143721661,..
Cyprus,Research and Development,0.356598855,0.386999103,0.200203503,0.210291853,0.453625997,0.34612757,0.29606904,0.179198761,0.111786067,..
Cyprus,"Personal, cultural and recreational services",0.181747062,0.395549081,0.635063896,0.739696211,0.87977639,0.541904701,0.461668368,0.503202878,0.526988181,-
Cyprus,  Audiovisual and related services,0.020638168,0.047859744,0.09895909,0.24000126,0.210028265,0.059650815,0.077348482,0.090589748,0.079846693,-
Cyprus,"  Other other personal, cultural and recreational services",0.161102656,0.347685621,0.536123358,0.499874076,0.669594868,0.482254304,0.384320509,0.41244298,0.447144267,..
Czech Republic,"Advertising, market research and public opinion polling",0.564177129,0.932468142,4.248912845,3.568419959,3.838170553,3.822810108,3.587644086,3.615236797,3.3285995,..
Czech Republic,"Architectural, engineering and other technical services",0.715293705,0.550868687,1.513856541,1.828421706,2.865966735,3.811718747,3.466003558,3.333065138,4.067071175,..
Czech Republic,Research and Development,0.143689466,0.187263318,0.676295416,0.751973962,1.041373704,1.003276936,0.990274144,0.798331395,1.04259489,..
Czech Republic,"Personal, cultural and recreational services",1.430294457,2.078398857,0.766390384,0.831494572,1.126123917,0.56292644,0.707554952,0.922097434,1.104403628,1.15437054
Czech Republic,  Audiovisual and related services,0.25730972,1.288057457,0.39552555,0.732907137,1.033773501,0.482950168,0.447791842,0.833026204,0.93876205,0.981682538
Czech Republic,"  Other other personal, cultural and recreational services",1.172981274,0.79034606,0.370868959,0.098580487,0.092348049,0.079980831,0.25976239,0.089069083,0.165643528,..
Czechoslovakia,"Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,_,_
Czechoslovakia,"Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,_,_
Czechoslovakia,Research and Development,_,_,_,_,_,_,_,_,_,_
Czechoslovakia,"Personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
Czechoslovakia,  Audiovisual and related services,_,_,_,_,_,_,_,_,_,_
Czechoslovakia,"  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
Dem. Rep. of the Congo,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Dem. Rep. of the Congo,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Dem. Rep. of the Congo,Research and Development,..,..,..,..,..,..,..,..,..,..
Dem. Rep. of the Congo,"Personal, cultural and recreational services",0,0.169303366,0.166312472,0.269479251,0.330332026,0.258978747,4.587144455,0.308800824,0.130788613,0.126023584
Dem. Rep. of the Congo,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Dem. Rep. of the Congo,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,0.308800824,0.130788613,..
Denmark,"Advertising, market research and public opinion polling",..,..,0.712904873,0.689873789,0.762758508,0.749498048,0.785203448,1.096602689,0.969977197,..
Denmark,"Architectural, engineering and other technical services",..,3.883332183,2.424716877,2.592503289,2.702120003,2.949882665,3.007456164,2.123575385,2.095326281,..
Denmark,Research and Development,..,..,2.22547371,2.037059985,1.720917602,1.739277792,1.70410327,1.359650224,2.470630679,..
Denmark,"Personal, cultural and recreational services",-,0.474167444,0.635355741,0.829137816,0.799265923,0.736523369,1.133407991,0.948458582,0.845341316,0.90341039
Denmark,  Audiovisual and related services,-,0.321593591,0.45760867,0.472594176,0.46052851,0.338394841,0.606612484,0.471651447,0.331987727,-
Denmark,"  Other other personal, cultural and recreational services",..,0.152574844,0.177747357,0.356541859,0.338737898,0.398127907,0.526463015,0.476809212,0.513350896,..
Djibouti,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Djibouti,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Djibouti,Research and Development,..,..,..,..,..,..,..,..,..,..
Djibouti,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Djibouti,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Djibouti,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Dominica,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Dominica,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Dominica,Research and Development,..,..,..,..,..,..,..,..,..,..
Dominica,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Dominica,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Dominica,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Dominican Republic,"Advertising, market research and public opinion polling",..,..,..,..,..,..,0.020678674,0.360891752,0.278963529,..
Dominican Republic,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Dominican Republic,Research and Development,..,..,..,..,..,..,0.006203602,..,..,..
Dominican Republic,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Dominican Republic,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Dominican Republic,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Ecuador,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Ecuador,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Ecuador,Research and Development,..,..,..,..,..,..,..,..,..,..
Ecuador,"Personal, cultural and recreational services",3.84439915,3.563587948,3.808046477,3.966214195,3.654059279,3.244683065,4.025005238,4.511189347,5.166900792,5.600949017
Ecuador,  Audiovisual and related services,3.84439915,3.563587948,3.808046477,3.966214195,3.654059279,3.244683065,4.025005238,4.511189347,5.166900792,5.600949017
Ecuador,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Egypt,"Advertising, market research and public opinion polling",0.109274813,0.090162433,0.132490132,0.190895287,0.356007501,0.486915892,0.51859218,0.59688327,0.797822316,..
Egypt,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Egypt,Research and Development,..,..,..,..,..,..,..,..,..,..
Egypt,"Personal, cultural and recreational services",0.65023029,0.486736261,0.565473345,0.718956274,0.460804076,0.297448208,0.477234919,0.41500399,0.561662731,-
Egypt,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Egypt,"  Other other personal, cultural and recreational services",0.65023029,0.486736261,0.565473345,0.718956274,0.460804076,0.297448208,0.477234919,0.41500399,0.561662731,..
El Salvador,"Advertising, market research and public opinion polling",0.105452751,0.077091804,0.084590739,0.0788255,0.070549226,0.078446198,0.092711379,0.085042726,0.013044394,..
El Salvador,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
El Salvador,Research and Development,..,..,..,..,..,..,..,..,..,..
El Salvador,"Personal, cultural and recreational services",0,0.018355191,0,0,0,0,0.007301021,0.001024611,0,0
El Salvador,  Audiovisual and related services,..,0.018355191,..,..,..,..,..,..,..,..
El Salvador,"  Other other personal, cultural and recreational services",..,0.018355191,..,..,..,..,0.007301021,0.001024611,..,..
Equatorial Guinea,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Equatorial Guinea,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Equatorial Guinea,Research and Development,..,..,..,..,..,..,..,..,..,..
Equatorial Guinea,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Equatorial Guinea,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Equatorial Guinea,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Eritrea,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Eritrea,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Eritrea,Research and Development,..,..,..,..,..,..,..,..,..,..
Eritrea,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Eritrea,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Eritrea,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Estonia,"Advertising, market research and public opinion polling",2.113467983,2.283316167,2.218395857,2.421688195,2.78279246,2.885672121,2.871021884,2.652764611,2.579009045,..
Estonia,"Architectural, engineering and other technical services",0.256176568,0.399533827,0.367736363,0.50785882,0.589923742,1.109885574,0.996976264,0.881440913,1.14017988,..
Estonia,Research and Development,0.561275589,0.520580223,0.399728164,0.467343336,0.419276197,0.582362015,0.760174732,0.876858184,0.914302148,..
Estonia,"Personal, cultural and recreational services",0.083247176,0.120982556,0.160032288,0.212893219,0.259484488,0.312264107,0.32119826,0.322184206,0.363714025,0.409015479
Estonia,  Audiovisual and related services,0.027340965,0.037014121,0.035375542,0.020655377,0.072053699,0.155632168,0.188029184,0.275353621,0.277971741,0.312595947
Estonia,"  Other other personal, cultural and recreational services",0.05592428,0.08398493,0.124641782,0.192226548,0.187421259,0.156656901,..,..,..,..
Ethiopia,"Advertising, market research and public opinion polling",0.021923549,0.005171762,0.187722921,0.05502696,0.052997851,0.043893227,0.020370253,0.019826419,0.020074548,..
Ethiopia,"Architectural, engineering and other technical services",0.148344969,0.001491855,0.045843913,0.0566454,0.026462375,0.288521411,0.023906022,0.019202666,0.024237635,..
Ethiopia,Research and Development,0.464726717,0.348099377,0.0064221,0.043868242,0.02419626,0.044097382,0.288877631,0.002717779,..,..
Ethiopia,"Personal, cultural and recreational services",0.077454453,0.002486424,-,0.039183284,0.029313294,0.009135916,0.040318325,0.002049473,-,-
Ethiopia,  Audiovisual and related services,0.077454453,0.002486424,-,0.039183284,0.029313294,0.009135916,0.040318325,0.002049473,-,..
Ethiopia,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Ethiopia (…1991),"Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,_,_
Ethiopia (…1991),"Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,_,_
Ethiopia (…1991),Research and Development,_,_,_,_,_,_,_,_,_,_
Ethiopia (…1991),"Personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
Ethiopia (…1991),  Audiovisual and related services,_,_,_,_,_,_,_,_,_,_
Ethiopia (…1991),"  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
Faeroe Islands,"Advertising, market research and public opinion polling",..,..,0.052825803,0.063601932,0.811404429,0.919878832,1.189054346,0.070274437,..,..
Faeroe Islands,"Architectural, engineering and other technical services",..,..,0.265638324,0.122046951,0.423888866,0.391851708,0.553636883,0.783507534,..,..
Faeroe Islands,Research and Development,..,..,0.05056184,0.025211577,..,0.131014249,0.330652421,0.055590227,..,..
Faeroe Islands,"Personal, cultural and recreational services",1.199535664,1.439165701,5.280316351,4.300865789,2.264004887,2.167690298,5.100990192,4.51696813,4.020053347,-
Faeroe Islands,  Audiovisual and related services,..,..,1.720611874,1.6914676,0.276996684,0.00277909,0.07060194,0.151037597,0,..
Faeroe Islands,"  Other other personal, cultural and recreational services",..,..,3.559704477,2.609971179,1.987008203,2.164911208,5.030388252,4.365406097,..,..
Falkland Islands (Malvinas),"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Falkland Islands (Malvinas),"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Falkland Islands (Malvinas),Research and Development,..,..,..,..,..,..,..,..,..,..
Falkland Islands (Malvinas),"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Falkland Islands (Malvinas),  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Falkland Islands (Malvinas),"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Fiji,"Advertising, market research and public opinion polling",0.017600062,0.017200385,0.027981795,0.099638427,0.058137291,0.08741366,..,..,..,..
Fiji,"Architectural, engineering and other technical services",..,0.186313408,0.118040851,0.157013452,0.095218822,0.161331878,..,..,..,..
Fiji,Research and Development,..,0.008527922,..,..,0.022576453,..,..,..,..,..
Fiji,"Personal, cultural and recreational services",0.008073423,0.041916903,0.076185729,0.099761286,0.072408416,0.06359216,0.085328909,0.145280936,-,-
Fiji,  Audiovisual and related services,0.008073423,0.041916903,0.076185729,0.099761286,0.072408416,0.06359216,0.085328909,0.145280936,..,..
Fiji,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Finland,"Advertising, market research and public opinion polling",1.113413599,..,0.954201445,0.59888327,0.693102175,0.535109935,0.826898671,0.650663914,0.53332354,..
Finland,"Architectural, engineering and other technical services",2.680067332,2.297099102,2.39633337,2.056918332,1.841173135,1.572769889,1.350756062,1.21068935,1.011958211,..
Finland,Research and Development,2.788453499,..,2.002649148,1.877410677,1.471561142,1.295456394,1.296315414,1.356262708,1.586309192,..
Finland,"Personal, cultural and recreational services",0.256182872,0.105470723,0.073760287,0.139094125,0.081197307,0.155581531,0.023437288,0.033008104,0.259971136,-
Finland,  Audiovisual and related services,0.226623314,0.034392628,0.043319534,0.022844981,0.050334117,0.013745641,0.012570526,0.014959493,0.200757709,-
Finland,"  Other other personal, cultural and recreational services",0.029560657,0.071079928,0.030438652,0.116248625,..,..,..,..,..,..
France,"Advertising, market research and public opinion polling",1.009915826,1.136093415,1.228028875,0.944464155,0.677757944,0.66524922,1.934031539,1.593504599,1.56130958,..
France,"Architectural, engineering and other technical services",..,..,..,..,1.5389413,1.547524264,2.025816005,2.097333171,2.065437691,..
France,Research and Development,..,..,..,..,2.135991741,2.148108941,2.812541197,2.911316738,2.866839534,..
France,"Personal, cultural and recreational services",1.893878673,1.982212027,1.746485173,1.361081841,1.315161965,1.342900168,1.394979531,1.842317474,1.843101067,1.894345207
France,  Audiovisual and related services,1.304188518,1.415247452,1.156868526,0.75810795,0.675923548,0.701567898,0.616996168,0.843620123,0.831748902,-
France,"  Other other personal, cultural and recreational services",0.59083475,0.568046272,0.590633248,0.602974184,0.639238561,0.641332313,0.777983439,0.999386407,1.011352086,..
French Polynesia,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
French Polynesia,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
French Polynesia,Research and Development,..,..,..,..,..,..,..,..,..,..
French Polynesia,"Personal, cultural and recreational services",0.815587529,0.478761174,0.394794047,0.403997366,0.708838418,1.534021311,0.627974928,0.765897768,0.39236574,-
French Polynesia,  Audiovisual and related services,0.006915311,0.256110965,0.000462505,0.004357594,0.000416278,0.074838493,0.001669102,0.120352189,0.016093329,..
French Polynesia,"  Other other personal, cultural and recreational services",0.808672219,0.222650209,0.394239041,0.399639772,0.708338884,1.459266717,0.626207644,0.645656708,0.376272411,..
Gabon,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Gabon,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Gabon,Research and Development,..,..,..,..,..,..,..,..,..,..
Gabon,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Gabon,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Gabon,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Gambia,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Gambia,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Gambia,Research and Development,..,..,..,..,..,..,..,..,..,..
Gambia,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Gambia,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Gambia,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Georgia,"Advertising, market research and public opinion polling",..,..,..,0.011863254,0.10328218,0.128526546,..,..,..,..
Georgia,"Architectural, engineering and other technical services",..,..,..,..,0.081985943,0.080606772,..,..,..,..
Georgia,Research and Development,..,..,..,..,..,..,..,..,..,..
Georgia,"Personal, cultural and recreational services",0.044241712,0.387373324,0.442770575,0.623668209,0.793444781,0.709910825,1.070854698,0.855060585,0.858148941,0.625047571
Georgia,  Audiovisual and related services,0.044241712,0.050832609,0.039298336,0.054683952,0.09185716,0.196042652,0.226098422,0.179950207,0.20664593,0.185217949
Georgia,"  Other other personal, cultural and recreational services",..,0.336540715,0.403472239,0.568984257,0.701679021,0.513788836,..,..,..,..
Germany,"Advertising, market research and public opinion polling",1.315054195,2.175787133,2.165859488,2.101832027,2.361593293,2.24567956,2.242778685,2.414946474,2.074209377,..
Germany,"Architectural, engineering and other technical services",5.581876976,6.058224135,5.267752724,4.828044303,4.527773879,5.21492248,5.417613706,5.239998748,5.165569061,..
Germany,Research and Development,4.230166222,4.254365699,4.668782034,4.620141197,4.707775363,4.90694985,4.963564974,5.216067121,5.475913058,..
Germany,"Personal, cultural and recreational services",0.803694981,0.65679363,0.729544661,0.498967192,0.504866818,0.428184623,0.519497216,0.454162248,0.342375836,0.30597058
Germany,  Audiovisual and related services,0.803694981,0.65679363,0.729544661,0.498967192,0.504866818,0.428184623,0.519497216,0.454162248,0.342375836,0.336320771
Germany,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
"Germany, Democratic Republic of","Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,_,_
"Germany, Democratic Republic of","Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,_,_
"Germany, Democratic Republic of",Research and Development,_,_,_,_,_,_,_,_,_,_
"Germany, Democratic Republic of","Personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
"Germany, Democratic Republic of",  Audiovisual and related services,_,_,_,_,_,_,_,_,_,_
"Germany, Democratic Republic of","  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
"Germany, Federal Republic of","Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,_,_
"Germany, Federal Republic of","Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,_,_
"Germany, Federal Republic of",Research and Development,_,_,_,_,_,_,_,_,_,_
"Germany, Federal Republic of","Personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
"Germany, Federal Republic of",  Audiovisual and related services,_,_,_,_,_,_,_,_,_,_
"Germany, Federal Republic of","  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
Ghana,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Ghana,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Ghana,Research and Development,..,..,..,..,..,..,..,..,..,..
Ghana,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Ghana,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Ghana,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
