"Exports and imports of creative services, annual, 2003-2012 (Discontinued)",,,,,,,,,,,
,,,,,,,,,,,
MEASURE,Percentage of total trade in services,FLOW,Exports,,,,,,,,
,,,,,,,,,,,
,YEAR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Armenia,  Audiovisual and related services,0.708901781,0.938066561,0.67528449,0.619919957,0.574038959,0.603747139,0.577910545,0.622439332,0.547896185,0.523113591
Armenia,"  Other other personal, cultural and recreational services",0.389654857,0.54419887,0.48700272,0.498824112,0.439579383,0.504983162,..,..,..,..
Aruba,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Aruba,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Aruba,Research and Development,..,..,..,..,..,..,..,..,..,..
Aruba,"Personal, cultural and recreational services",-,-,-,-,0.212813727,0.241148505,0.135723432,0.090389705,0.186552477,-
Aruba,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Aruba,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Australia,"Advertising, market research and public opinion polling",0.528696136,0.384950782,0.439990595,0.537042242,0.564138909,0.622585665,..,..,..,..
Australia,"Architectural, engineering and other technical services",2.217971879,1.872428489,2.435594007,2.883752067,3.146408137,3.533649277,..,..,..,..
Australia,Research and Development,0.989447133,1.06142137,1.049853769,1.045521172,1.156557363,1.075351126,1.070392021,1.076310663,1.006407484,..
Australia,"Personal, cultural and recreational services",1.974194744,1.478729305,1.409369082,1.518159206,1.259375687,1.483634025,1.486346811,1.487602702,1.687192444,1.730223753
Australia,  Audiovisual and related services,0.561386443,0.464651819,0.405835706,0.457556992,0.346217006,0.428687318,0.260150234,0.271821261,0.385382,0.362500023
Australia,"  Other other personal, cultural and recreational services",1.412808301,1.014077486,1.003536596,1.060602214,0.913156212,1.054944496,..,..,..,..
Austria,"Advertising, market research and public opinion polling",..,1.631930344,1.667057708,1.693378435,1.922300468,1.937922675,1.746156464,1.747775552,1.751512102,..
Austria,"Architectural, engineering and other technical services",..,4.033950723,4.614438332,4.992166457,4.58627592,5.147821292,5.368477491,5.221450578,5.964241979,..
Austria,Research and Development,..,3.273691546,3.506973415,3.925557307,3.884964815,3.38041871,3.522903825,3.288929621,3.707747969,..
Austria,"Personal, cultural and recreational services",0.541576444,0.576746624,0.559592171,0.497567144,0.507063572,0.571468073,0.56845701,0.568817152,0.491333424,0.663095309
