Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,02/27/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,2.838828589,-7.851674675,7.792447419,14.91276489,15.1513374,13.99288246,2.745079414,2.111599509,6.475072997,7.781293571,11.44696733,8.266114709,9.824047262,13.19074837,11.37468802,3.935287407,2.847816887,4.205572506,5.454050857,3.053639977,3.371123657,3.128906044,6.759671879,5.193696324,12.29515078,8.08541923,19.43814443,8.739515259,21.61663623,31.01283278,25.7895676,11.60334501,6.587417192,8.416401826,5.72771404,10.78106076,11.36647426,3.701837809,8.530357747,6.782192764,10.69052933,8.390045571,
Australia,AUS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.164075326,2.558517217,2.028227142,0.211868976,1.494665425,0.46210365,0.998190542,1.03539031,1.416998054,1.106050538,1.246018917,1.328417227,1.179913551,1.68951986,0.221613378,1.164384384,2.949819022,2.745431403,3.596879461,2.680931833,2.721491879,0.802945865,1.521153595,1.705193553,1.383712746,3.613367058,1.140125232,1.86117451,1.904644606,0.568932377,3.586745269,2.832402344,3.713762123,1.926147053,7.005444173,-3.618814635,4.09502424,5.209249708,4.28465048,3.091518205,3.072118666,4.693723914,3.722171874,3.42582358,4.306383954,3.469188226,3.555512757,3.574155963,4.207922492,
Austria,AUT,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.732777973,0.799227887,0.659123094,0.544663564,0.503135897,0.197482692,0.212360453,0.187813705,0.229467876,0.253498584,0.291619756,0.461073498,0.291714012,0.299662997,0.169507119,0.243804294,0.185185793,0.318512006,0.33405512,0.437230957,0.392278454,0.207141577,0.761499204,0.590980049,1.019883828,0.757178434,1.822338447,1.254274219,2.094684079,1.369564751,4.319625509,2.883092982,0.064836384,2.367260905,1.058027579,25.66539715,3.125149478,17.71734068,1.464380046,3.573476841,-5.615650034,5.331213212,1.274621024,0.104891998,0.387373362,-2.088896441,-7.322194606,3.24001827,0.926966323,
Azerbaijan,AZE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000251829,0.663862441,10.81256385,19.74616392,28.13304265,23.00678789,11.13926038,2.464373862,14.35913016,32.46670119,55.07590465,54.3652722,33.79504714,21.37906362,13.90071471,8.160909658,6.547600843,6.338044724,6.800620683,7.596083568,3.531931399,5.888108916,7.626322309,11.88265332,7.016879437,2.988947733,
Burundi,BDI,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.041197603,,0.166123341,0.144575222,0.063719451,0.076011909,0.017840706,-0.045659135,0.14584771,-0.038338821,0.500148595,1.143391787,0.088825529,0.280720857,0.120549796,0.046832717,0.12682003,0.120879772,0.110552499,0.050921501,0.11089421,0.076452053,0.055407891,0.050464886,0.000427861,0.198107378,0,0,0,-0.058805185,1.342151992,-0.001304856,0,0,0.004882857,0.052340423,0.002481106,0.036885808,0.23781629,0.019557301,0.038411912,0.150056708,0.025925408,4.761214324,3.021202699,1.598471459,0.001872536,0.009976175,0.032392796,
Belgium,BEL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.175757111,1.435198369,1.03737178,1.505954653,2.029158556,1.453450559,1.225906899,1.539028799,1.418122738,0.97156477,1.217999175,1.323832482,1.598528897,1.479281141,0.467153205,1.218860732,0.608121459,1.57631072,3.211644356,4.27489028,3.918892275,4.447539573,4.806934401,4.783692642,3.47657482,3.711024447,5.03718761,4.74788988,8.776794077,46.36411245,37.56859063,37.28873348,7.045850148,10.8888653,12.07427361,8.730432334,14.41994263,20.52873814,36.9532515,16.07046087,26.09241495,31.30695192,2.38023345,-5.682227349,-2.843930216,-4.22249473,12.08644588,-7.185445904,-11.57531891,
Benin,BEN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.008226185,0.835638863,1.16978475,0.693926704,-0.422446607,0.279190961,0.351140017,0.416775236,0.081107282,0.300788154,0.307173179,0.161898129,-0.000960154,0.000958313,0.001088613,-0.00860657,0.082329041,0.00640036,-1.336959782,-0.074450533,-0.150760025,0.019825555,0.056291442,-0.951216946,-0.444751627,-0.356668621,-0.620945778,0.537109689,0.46002923,0.34617473,-0.496774564,0.624013838,-0.631986845,0.271786054,-0.900192566,-0.182887348,-0.240209747,2.328591486,0.67317874,-0.263935312,0.766154804,2.058853706,3.453896148,3.932779308,4.168544653,1.804756746,1.535163003,2.161976698,2.004108084,
Burkina Faso,BFA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.087259211,0.207292002,-0.120982603,0.652070347,0.35546271,0.03191582,0.209923209,0.439346618,0.07861294,0.085216826,0.001036957,0.136836445,0.111145919,0.123728444,0.114392936,-0.092109892,0.154200991,0.05612204,0.141817368,0.216777215,0.014832481,0.018181553,0.138959121,0.136293174,0.969328341,0.412551084,0.627288466,0.39898399,0.157122676,0.264749641,0.878973875,0.222801458,0.468745938,0.692454667,0.296541578,0.95390956,1.440342249,0.320222005,0.394960739,0.674222739,0.432438272,1.339578746,2.949121794,4.103597507,2.882850829,2.224797992,3.592125861,0.020813181,3.398296536,
Bangladesh,BGD,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,0.001431242,0.02893631,0.017582473,0.00793555,0.053572593,0.072322993,0.057974213,-0.051460025,0.046917946,0.026469536,0.037570041,0.002294153,-0.002924127,-0.029894396,0.011189931,0.013190726,0.006916145,0.000861339,0.010249846,0.004491464,0.011737576,0.042361655,0.033012231,0.004998378,0.029134955,0.288896568,0.380236167,0.350304291,0.525362089,0.145443905,0.095579368,0.445960783,0.689472336,1.17120896,0.635657188,0.817754424,1.449748396,0.879494542,1.068934861,0.983166534,1.18810285,1.73541854,1.468712877,1.451287647,1.053552289,0.724959075,1.072976137,
Bulgaria,BGR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.019387274,0.510803242,0.400946215,0.369354299,1.086887367,0.479129269,0.894547216,4.502501074,3.5959782,6.050768636,7.614252135,5.775535198,5.55808812,9.992947051,11.83663766,13.82790359,23.07192498,31.24253354,18.92461619,7.51026984,3.641371034,3.663998768,3.317272246,3.580296782,1.924859258,4.341519748,2.773241262,3.470124027,1.87705298,
