Indicator,,Rural population (% of total population),,,,,,
Time,,2013,2014,2015,2016,2017,2018,2019
Indonesia,,48.045,47.365,46.687,46.011,45.341,44.675,..
Iran (Islamic Republic of),,27.705,27.17,26.642,26.12,25.606,25.102,..
Iraq,,30.405,30.242,30.079,29.906,29.722,29.527,..
Ireland,,37.859,37.66,37.462,37.263,37.053,36.83,..
Isle of Man,,47.904,47.838,47.755,47.657,47.542,47.412,..
Israel,,7.969,7.896,7.821,7.744,7.664,7.582,..
Italy,,31.021,30.728,30.435,30.145,29.856,29.562,..
Jamaica,,45.65,45.416,45.167,44.902,44.622,44.326,..
Japan,,8.774,8.696,8.619,8.543,8.465,8.384,..
Jordan,,10.875,10,9.744,9.494,9.253,9.021,..
Kazakhstan,,42.954,42.882,42.809,42.736,42.664,42.572,..
Kenya,,75.206,74.779,74.342,73.895,73.438,72.97,..
Kiribati,,50.073,49.227,48.381,47.55,46.738,45.943,..
Kuwait,,..,..,..,..,..,..,..
Kyrgyzstan,,64.483,64.365,64.223,64.056,63.865,63.649,..
Lao People's Democratic Republic,,68.128,67.513,66.892,66.264,65.632,64.996,..
Latvia,,32.075,32.048,32.02,31.979,31.925,31.858,..
Lebanon,,12.21,12.053,11.894,11.734,11.571,11.407,..
Lesotho,,73.899,73.498,73.092,72.683,72.27,71.847,..
Liberia,,51.015,50.603,50.18,49.746,49.303,48.849,..
Libya,,21.244,20.991,20.73,20.46,20.183,19.898,..
Liechtenstein,,85.666,85.687,85.697,85.697,85.685,85.662,..
Lithuania,,33.014,32.892,32.77,32.634,32.484,32.321,..
Luxembourg,,10.426,10.116,9.821,9.54,9.273,9.019,..
Madagascar,,66.122,65.466,64.807,64.144,63.478,62.809,..
Malawi,,84.034,83.868,83.687,83.494,83.286,83.063,..
Malaysia,,27.07,26.423,25.787,25.16,24.553,23.964,..
Maldives,,62.315,61.894,61.471,61.046,60.62,60.192,..
Mali,,61.602,60.804,60.009,59.217,58.428,57.644,..
Malta,,5.721,5.653,5.586,5.52,5.454,5.388,..
Marshall Islands,,25.054,24.616,24.189,23.772,23.366,22.969,..
Martinique,,..,..,..,..,..,..,..
Mauritania,,50.694,49.797,48.911,48.038,47.176,46.328,..
Mauritius,,58.778,58.889,59,59.09,59.159,59.207,..
Mayotte,,..,..,..,..,..,..,..
Mexico,,21.301,21.007,20.715,20.423,20.133,19.844,..
Micronesia (Federated States of),,77.645,77.601,77.544,77.474,77.392,77.297,..
Monaco,,..,..,..,..,..,..,..
Mongolia,,31.903,31.837,31.77,31.703,31.637,31.555,..
Montenegro,,34.863,34.529,34.194,33.859,33.523,33.187,..
Montserrat,,..,..,..,..,..,..,..
Morocco,,40.3,39.744,39.191,38.64,38.092,37.547,..
Mozambique,,66.64,66.122,65.6,65.074,64.545,64.012,..
Myanmar,,70.543,70.35,70.142,69.918,69.678,69.421,..
Namibia,,55.244,54.174,53.1,52.039,50.995,49.968,..
Nauru,,..,..,..,..,..,..,..
Nepal,,82.185,81.818,81.443,81.058,80.664,80.26,..
Netherlands,,10.813,10.31,9.827,9.365,8.923,8.51,..
New Caledonia,,31.521,31.069,30.621,30.179,29.744,29.317,..
New Zealand,,13.779,13.719,13.659,13.6,13.534,13.462,..
Nicaragua,,42.495,42.3,42.105,41.91,41.701,41.478,..
Niger,,83.792,83.781,83.753,83.71,83.65,83.575,..
Nigeria,,53.882,53.018,52.162,51.317,50.481,49.656,..
Niue,,..,..,..,..,..,..,..
North Macedonia,,42.811,42.716,42.592,42.437,42.252,42.037,..
Northern Mariana Islands,,8.81,8.727,8.643,8.557,8.47,8.382,..
Norway,,19.714,19.308,18.909,18.515,18.129,17.752,..
Oman,,21.118,19.855,18.65,17.5,16.44,15.461,..
Pakistan,,64.387,64.181,63.974,63.766,63.558,63.334,..
Palau,,23.138,22.483,21.841,21.225,20.635,20.07,..
Palestine,,25.137,24.887,24.632,24.372,24.106,23.836,..
Panama,,33.948,33.629,33.304,32.973,32.635,32.291,..
Papua New Guinea,,87.022,87.012,86.988,86.95,86.898,86.831,..
Paraguay,,39.803,39.526,39.25,38.974,38.7,38.415,..
Peru,,23.011,22.827,22.643,22.461,22.28,22.093,..
Philippines,,54.097,53.907,53.716,53.525,53.318,53.093,..
Poland,,39.471,39.597,39.722,39.822,39.895,39.942,..
Portugal,,37.648,37.064,36.486,35.914,35.348,34.789,..
Puerto Rico,,6.314,6.349,6.376,6.398,6.413,6.422,..
Qatar,,1.215,1.132,1.055,0.985,0.922,0.865,..
Republic of Korea,,18.221,18.293,18.366,18.438,18.497,18.541,..
Republic of Moldova,,57.473,57.504,57.51,57.489,57.443,57.371,..
Réunion,,..,..,..,..,..,..,..
Romania,,46.063,46.1,46.113,46.1,46.064,46.002,..
Russian Federation,,26.137,26.05,25.95,25.836,25.708,25.567,..
Rwanda,,83.053,83.033,82.996,82.944,82.875,82.789,..
Saint Helena,,..,..,..,..,..,..,..
Saint Kitts and Nevis,,69.036,69.115,69.173,69.21,69.227,69.224,..
Saint Lucia,,81.539,81.518,81.485,81.442,81.388,81.322,..
Saint Pierre and Miquelon,,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,,49.846,49.442,49.036,48.627,48.216,47.802,..
Saint-Barthélemy,,..,..,..,..,..,..,..
Saint-Martin (French part),,..,..,..,..,..,..,..
Samoa,,80.615,80.851,81.086,81.319,81.548,81.757,..
San Marino,,3.63,3.441,3.261,3.09,2.928,2.774,..
Sao Tome and Principe,,31.792,30.787,29.826,28.908,28.032,27.197,..
Saudi Arabia,,17.26,17.04,16.82,16.599,16.378,16.156,..
Senegal,,54.981,54.564,54.138,53.704,53.26,52.808,..
Serbia,,44.531,44.417,44.304,44.19,44.058,43.908,..
Seychelles,,45.463,45.031,44.6,44.169,43.739,43.309,..
Sierra Leone,,59.964,59.568,59.171,58.772,58.364,57.945,..
Singapore,,..,..,..,..,..,..,..
Sint Maarten (Dutch part),,..,..,..,..,..,..,..
Slovakia,,45.86,46,46.111,46.194,46.249,46.274,..
Slovenia,,46.668,46.443,46.219,45.98,45.727,45.459,..
Solomon Islands,,78.567,78.104,77.64,77.177,76.714,76.251,..
Somalia,,57.883,57.321,56.755,56.184,55.609,55.029,..
South Africa,,36.207,35.688,35.172,34.659,34.15,33.645,..
South Sudan,,81.585,81.374,81.148,80.908,80.654,80.385,..
Spain,,20.867,20.634,20.398,20.16,19.92,19.679,..
Sri Lanka,,81.802,81.782,81.744,81.689,81.616,81.524,..
Sudan,,66.493,66.311,66.106,65.879,65.63,65.358,..
Suriname,,33.86,33.911,33.944,33.96,33.959,33.94,..
Sweden,,14.064,13.753,13.447,13.148,12.854,12.569,..
Switzerland,,26.326,26.304,26.282,26.261,26.239,26.203,..
Syrian Arab Republic,,47.471,48.5,47.832,47.165,46.5,45.838,..
Tajikistan,,73.411,73.345,73.258,73.149,73.018,72.866,..
Thailand,,53.807,53.057,52.306,51.552,50.8,50.051,..
Timor-Leste,,71.221,70.867,70.51,70.15,69.788,69.422,..
Togo,,60.939,60.421,59.9,59.372,58.838,58.298,..
Tokelau,,..,..,..,..,..,..,..
Tonga,,76.618,76.672,76.725,76.778,76.831,76.869,..
Trinidad and Tobago,,46.47,46.587,46.681,46.75,46.795,46.816,..
Tunisia,,32.505,32.228,31.944,31.654,31.358,31.055,..
Turkey,,27.469,26.923,26.389,25.866,25.356,24.857,..
Turkmenistan,,50.459,50.079,49.683,49.272,48.847,48.407,..
Turks and Caicos Islands,,8.517,8.149,7.805,7.483,7.183,6.902,..
Tuvalu,,42.186,41.214,40.27,39.355,38.47,37.613,..
Uganda,,79.042,78.496,77.94,77.376,76.804,76.226,..
Ukraine,,31.125,31.032,30.939,30.846,30.754,30.648,..
United Arab Emirates,,14.934,14.625,14.326,14.035,13.752,13.478,..
United Kingdom of Great Britain and Northern Ireland,,17.898,17.635,17.374,17.114,16.857,16.602,..
United Republic of Tanzania,,69.804,69.096,68.383,67.667,66.947,66.224,..
United States of America,,18.701,18.517,18.329,18.138,17.942,17.744,..
United States Virgin Islands,,4.93,4.787,4.65,4.52,4.397,4.279,..
Uruguay,,5.157,5.055,4.955,4.856,4.76,4.666,..
Uzbekistan,,49.05,49.15,49.25,49.35,49.45,49.522,..
Vanuatu,,75.239,75.139,75.039,74.938,74.837,74.726,..
Venezuela (Bolivarian Republic of),,11.867,11.856,11.846,11.835,11.817,11.792,..
Viet Nam,,67.571,66.885,66.191,65.49,64.787,64.081,..
Wallis and Futuna Islands,,..,..,..,..,..,..,..
Western Sahara,,..,..,..,..,..,..,..
Yemen,,66.441,65.835,65.223,64.606,63.984,63.358,..
Zambia,,59.135,58.618,58.093,57.562,57.024,56.479,..
Zimbabwe,,67.346,67.496,67.615,67.704,67.763,67.791,..
