country_iso,clusters_3,clusters_4,clusters_5,clusters_6,clusters_7,clusters_8
SXM,0,3,2,3,3,2
SYC,0,3,4,1,1,4
SYR,1,1,0,2,6,5
TCA,1,1,0,2,6,5
TCD,2,0,3,4,4,3
TEA,1,2,0,2,2,6
TEC,1,1,2,3,3,2
TGO,2,0,3,4,4,3
THA,1,1,0,0,0,0
TJK,2,0,3,0,0,0
TKM,1,1,0,0,0,0
TLA,1,1,0,2,6,5
TLS,1,1,0,2,6,5
TMN,1,1,0,2,6,5
TON,2,0,3,2,6,5
TSA,1,1,0,2,6,5
TSS,1,1,0,2,6,5
TTO,1,1,0,2,6,5
TUN,1,1,0,0,0,0
TUR,1,1,0,0,0,0
TUV,1,1,0,0,0,0
TWN,2,0,3,4,6,5
TZA,2,0,3,4,4,3
UGA,2,0,3,4,4,3
UKR,1,1,2,3,3,2
UMC,1,2,0,2,2,6
URY,1,3,2,3,3,2
USA,0,3,2,3,3,2
UZB,1,1,0,0,0,0
VAT,1,1,0,2,6,5
VCT,1,1,0,2,6,5
VEN,1,1,0,0,0,0
VGB,0,3,4,1,1,4
VIR,1,1,0,2,6,5
VNM,1,1,0,2,6,5
VUT,2,0,3,4,4,3
WLD,1,2,0,2,2,6
WSM,2,1,0,2,6,5
XKX,1,1,0,2,6,5
YEM,1,1,0,0,0,0
ZAF,2,0,3,4,4,3
ZMB,2,0,3,4,4,3
ZWE,2,0,3,4,4,3
