country_iso,year,foreign_investment
ISR,1971,0.849256841
ITA,1971,0.44042635700000005
JAM,1971,11.37761697
JPN,1971,0.087444689
KEN,1971,0.41610640200000004
KHM,1971,-0.028868616
KOR,1971,0.424673055
KWT,1971,0.00025770700000000003
LAC,1971,0.9797498
LCN,1971,0.973995913
LIC,1971,2.200492222
LKA,1971,0.012661921999999999
LMC,1971,0.678417945
LMY,1971,0.872082095
MAR,1971,0.530225899
MDG,1971,0.09003694300000001
MEA,1971,0.175214072
MEX,1971,0.783163265
MIC,1971,0.819458165
MLI,1971,-0.139503499
MLT,1971,4.363469173
MNA,1971,0.305501564
MRT,1971,1.779335488
MWI,1971,2.627351779
MYS,1971,2.356078734
NAC,1971,0.240745634
NER,1971,41.23571052
NGA,1971,3.1148678610000005
NIC,1971,1.609056372
NLD,1971,1.688902092
NOR,1971,0.644581086
NZL,1971,1.390444931
OED,1971,0.42154077700000003
OMN,1971,-0.08969784199999999
OSS,1971,3.04703773
PAK,1971,0.009432131
PER,1971,-0.038843933
PHL,1971,0.291429657
PNG,1971,6.616822163999999
PRE,1971,1.981178935
PRT,1971,0.608589343
PRY,1971,1.0683576959999999
PSS,1971,2.125543315
PST,1971,0.42372793299999995
QAT,1971,7.051842677000001
RWA,1971,0.762493986
SAS,1971,0.060143537999999996
SAU,1971,-1.551002644
SEN,1971,0.731589609
SGP,1971,5.1241605219999995
SLB,1971,-0.339613636
SLE,1971,1.23942489
SLV,1971,0.590159512
SOM,1971,0.513435796
SSA,1971,1.8663493359999999
SSF,1971,1.86888449
SST,1971,6.642493477
SUR,1971,-2.259136213
SWE,1971,0.20399771600000002
SYC,1971,8.240025395
TCD,1971,0.059776826
TEC,1971,0.276810309
TGO,1971,1.605374375
THA,1971,0.526988264
TLA,1971,0.946718904
TMN,1971,0.305501564
TSA,1971,0.060143537999999996
TSS,1971,1.86888449
TTO,1971,11.51932007
TUN,1971,1.364809351
TUR,1971,0.276810309
UGA,1971,-0.084638941
UMC,1971,0.901603085
URY,1971,-0.029566217000000002
USA,1971,0.066102932
VEN,1971,1.624752804
WLD,1971,0.48244622299999995
ZAF,1971,1.2789656759999999
ZMB,1971,0.499110848
ZWE,1971,1.002425144
AFG,1972,0.009401115
ARB,1972,0.262023611
ARG,1972,0.206489502
AUS,1972,2.028227142
AUT,1972,0.659123094
BDI,1972,0.166123341
BEL,1972,1.03737178
BEN,1972,1.16978475
BFA,1972,-0.12098260300000001
BGD,1972,0.001431242
BHS,1972,15.3037739
BOL,1972,1.288549492
BRA,1972,0.785629975
BRN,1972,-1.395768465
CAF,1972,0.651273717
CAN,1972,1.8666619230000001
CHL,1972,-0.009279711
CIV,1972,1.01113842
CMR,1972,0.23061581
COD,1972,0.169590007
COG,1972,16.14437845
COL,1972,0.212850956
CRI,1972,2.087298575
CSS,1972,6.741327774
DEU,1972,0.632842207
DNK,1972,0.70591132
DOM,1972,2.188789373
DZA,1972,0.613595249
EAR,1972,0.302792077
EAS,1972,0.600892809
ECA,1972,0.210463507
ECS,1972,0.571657515
ECU,1972,2.536105579
EGY,1972,0.000322593
EMU,1972,0.57183199
ESP,1972,0.45322011100000004
EUU,1972,0.576761551
FCS,1972,0.841751696
FIN,1972,0.250963404
FJI,1972,2.684347493
FRA,1972,0.322695756
GAB,1972,4.041733381
GBR,1972,0.71071276
GHA,1972,0.54443206
GMB,1972,2.8734881760000004
GRC,1972,0.325723122
GTM,1972,0.75667444
GUY,1972,0.8760220259999999
HIC,1972,0.416323801
HKG,1972,1.934150952
HND,1972,0.37359902700000003
HPC,1972,1.659619881
HTI,1972,1.091393828
IBD,1972,0.40758856299999996
IBT,1972,0.5540967210000001
IDA,1972,1.3884421930000002
IDB,1972,1.755178961
IDN,1972,2.3052322519999997
IDX,1972,1.117073485
IND,1972,0.024893934
IRL,1972,0.490069961
IRN,1972,0.53167106
