country_iso,year,secure_internet_servers
ABW,2010,88.5225584986574
AFG,2010,0.479690142096898
AGO,2010,1.28445298957718
ALB,2010,4.11943477235489
AND,2010,686.80505393788
ARB,2010,6.207515766091451
ARE,2010,91.812994357419
ARG,2010,25.203211310809003
ARM,2010,10.4263726058876
ASM,2010,53.495961054940395
ATG,2010,681.601308674513
AUS,2010,1402.7936954622303
AUT,2010,690.149608939135
AZE,2010,2.5402205264838997
BDI,2010,0.46106310547671503
BEL,2010,401.814092422381
BEN,2010,0.108704407605004
BFA,2010,0.25632453557038004
BGD,2010,0.203285872180755
BGR,2010,62.3343693999634
BHR,2010,74.94801992166721
BHS,2010,366.25702227406197
BIH,2010,11.874330719541302
BLR,2010,5.057645036137401
BLZ,2010,213.97737421851699
BMU,2010,3562.43473988084
BOL,2010,5.77195407514885
BRA,2010,28.2504588911243
BRB,2010,187.85599597350202
BRN,2010,41.1685698553439
BTN,2010,1.4587828207899902
BWA,2010,4.5292020300889995
CAN,2010,1282.6979085272098
CEB,2010,150.27564212934098
CHE,2010,1449.6015225225
CHL,2010,46.3002686118875
CHN,2010,1.1990685539786399
CIV,2010,0.535724287060554
CMR,2010,0.344128462958578
COD,2010,0.0619541702079929
COG,2010,0.0
COL,2010,10.503574532259199
COM,2010,0.0
CPV,2010,24.357865763801797
CRI,2010,103.552732590579
CSS,2010,71.1294059002416
CUB,2010,0.0890802570357369
CUW,2010,0.0
CYM,2010,1676.31281761717
CYP,2010,275.927277433643
CZE,2010,305.506467667391
DEU,2010,1049.3179433368302
DJI,2010,4.7607825774400805
DMA,2010,42.3262507407094
DNK,2010,1588.0503626468899
DOM,2010,11.861636383909
DZA,2010,0.36133739865702
EAP,2010,2.43393311232064
EAR,2010,7.11518341378862
EAS,2010,58.8647083914702
ECA,2010,27.495705131060802
ECS,2010,369.101148351074
ECU,2010,10.5921498047081
EGY,2010,2.47700508577476
EMU,2010,544.0315197899221
ERI,2010,0.315414130868477
ESP,2010,207.055442100404
EST,2010,535.496348035074
ETH,2010,0.0342309588351725
EUU,2010,591.010753135338
FCS,2010,0.5426027609670071
FIN,2010,1017.4607223244001
FJI,2010,15.1194787734148
FRA,2010,278.051563625221
FRO,2010,1735.8932530221302
FSM,2010,29.1514026683251
GAB,2010,2.46284187323753
GBR,2010,1315.40196727977
GEO,2010,9.50697111861399
GHA,2010,0.8878264028191879
GIB,2010,4793.806758969779
GIN,2010,0.0981144752602388
GMB,2010,4.46130818940038
GNQ,2010,0.0
GRC,2010,63.9311392394137
GRD,2010,94.13270829215028
GRL,2010,931.376856163782
GTM,2010,7.245179682848411
GUM,2010,163.066656631796
GUY,2010,1.33433675457277
HIC,2010,1089.22736426973
HKG,2010,447.4530907434299
HND,2010,6.01144338362507
HPC,2010,0.536924120518424
HRV,2010,117.799697212873
HTI,2010,0.20101872268281198
HUN,2010,167.69961429088698
IBD,2010,8.878408212578119
IBT,2010,6.936127469287849
IDA,2010,0.595075950297025
IDB,2010,0.891135467357499
IDN,2010,1.6374854153701899
IDX,2010,0.44164170053532703
IMN,2010,58.9226581189531
IND,2010,1.6697978143829297
IRL,2010,959.397213471911
IRN,2010,1.2472459081827199
IRQ,2010,0.0336225138504584
ISL,2010,2333.03253354127
ISR,2010,444.40946534445703
ITA,2010,127.06356621443199
JAM,2010,24.195327455292002
JOR,2010,11.843219460778199
JPN,2010,552.9007573982981
KAZ,2010,3.49224647760992
KEN,2010,1.5464895211297602
KGZ,2010,1.83556966904679
KHM,2010,0.698704015843253
KIR,2010,0.0
KNA,2010,550.840541863881
KOR,2010,175.323492831432
KWT,2010,78.88006353187491
LAC,2010,18.4793718894002
LAO,2010,0.480064136568646
LBN,2010,16.757314315329403
LBR,2010,0.513959658278502
LBY,2010,1.12945799085881
LCA,2010,45.9545624264009
LCN,2010,21.3127727840313
LDC,2010,0.338516886761638
LIC,2010,0.29010977682762606
LIE,2010,3806.18992054231
LKA,2010,3.55349593176538
LMC,2010,1.7865348278936801
LMY,2010,5.589848443131861
LSO,2010,0.501107196350336
LTE,2010,13.8952977274228
LTU,2010,177.252184334523
LUX,2010,1195.3770862387598
LVA,2010,227.407624591489
MAC,2010,209.951711106446
MAF,2010,0.0
MAR,2010,1.5768291937496102
MCO,2010,786.251825227451
MDA,2010,10.6680291798672
MDG,2010,0.283665947415898
MDV,2010,24.608048472387
MEA,2010,16.472416103564598
MEX,2010,13.4188819340243
MHL,2010,17.741191498421
MIC,2010,6.1640205454913195
MKD,2010,19.7996755750719
MLI,2010,0.46513627529369506
MLT,2010,1654.9740897642498
MMR,2010,0.0197625263686449
MNA,2010,1.90217001959842
MNE,2010,20.987104231646
MNG,2010,9.19152791136132
MNP,2010,129.69928294825002
MOZ,2010,0.7649297067845949
MRT,2010,1.7171337031848501
MUS,2010,30.390275111964197
MWI,2010,0.20633287875907605
MYS,2010,44.9162800599191
NAC,2010,2363.1951694454
NAM,2010,6.60728292479874
NCL,2010,128.128128128128
NER,2010,0.18221546675251
NGA,2010,0.643520143003803
NIC,2010,4.635937270617691
NLD,2010,2084.81363728119
NOR,2010,1557.29342647914
NPL,2010,0.888454138663703
NRU,2010,0.0
NZL,2010,1388.74204151056
OED,2010,1009.95356966517
OMN,2010,20.3851209659654
OSS,2010,115.295191362906
PAK,2010,0.590777272336858
PAN,2010,133.967041362599
PER,2010,10.369415062329802
PHL,2010,5.04433588125506
PLW,2010,0.0
PNG,2010,1.5046836012878502
POL,2010,155.009645190624
PRE,2010,0.502456567641246
PRI,2010,95.12229529561131
