country_iso,year,rural_population
KAZ,2017,42.664
KAZ,2018,42.572
KEN,2013,75.206
KEN,2014,74.779
KEN,2015,74.342
KEN,2016,73.895
KEN,2017,73.438
KEN,2018,72.97
KGZ,2013,64.483
KGZ,2014,64.365
KGZ,2015,64.223
KGZ,2016,64.056
KGZ,2017,63.865
KGZ,2018,63.649
KHM,2013,78.585
KHM,2014,78.201
KHM,2015,77.812
KHM,2016,77.418
KHM,2017,77.02
KHM,2018,76.612
KIR,2013,50.073
KIR,2014,49.227
KIR,2015,48.381
KIR,2016,47.55
KIR,2017,46.738
KIR,2018,45.943
KNA,2013,69.036
KNA,2014,69.115
KNA,2015,69.173
KNA,2016,69.21
KNA,2017,69.227
KNA,2018,69.224
KOR,2013,18.221
KOR,2014,18.293
KOR,2015,18.366
KOR,2016,18.438
KOR,2017,18.497
KOR,2018,18.541
LAO,2013,68.128
LAO,2014,67.513
LAO,2015,66.892
LAO,2016,66.264
LAO,2017,65.632
LAO,2018,64.996
LBN,2013,12.21
LBN,2014,12.053
LBN,2015,11.894
LBN,2016,11.734
LBN,2017,11.571
LBN,2018,11.407
LBR,2013,51.015
LBR,2014,50.603
LBR,2015,50.18
LBR,2016,49.746
LBR,2017,49.303
LBR,2018,48.849
LBY,2013,21.244
LBY,2014,20.991
LBY,2015,20.73
LBY,2016,20.46
LBY,2017,20.183
LBY,2018,19.898
LCA,2013,81.539
LCA,2014,81.518
LCA,2015,81.485
LCA,2016,81.442
LCA,2017,81.388
LCA,2018,81.322
LIE,2013,85.666
LIE,2014,85.687
LIE,2015,85.697
LIE,2016,85.697
LIE,2017,85.685
LIE,2018,85.662
LKA,2013,81.802
LKA,2014,81.782
LKA,2015,81.744
LKA,2016,81.689
LKA,2017,81.616
LKA,2018,81.524
LSO,2013,73.899
LSO,2014,73.498
LSO,2015,73.092
LSO,2016,72.683
LSO,2017,72.27
LSO,2018,71.847
LTU,2013,33.014
LTU,2014,32.892
LTU,2015,32.77
LTU,2016,32.634
LTU,2017,32.484
LTU,2018,32.321
LUX,2013,10.426
LUX,2014,10.116
LUX,2015,9.821
LUX,2016,9.54
LUX,2017,9.273
LUX,2018,9.019
LVA,2013,32.075
LVA,2014,32.048
LVA,2015,32.02
LVA,2016,31.979
LVA,2017,31.925
LVA,2018,31.858
MAR,2013,40.3
MAR,2014,39.744
MAR,2015,39.191
MAR,2016,38.64
MAR,2017,38.092
MAR,2018,37.547
MDA,2013,57.473
MDA,2014,57.504
MDA,2015,57.51
MDA,2016,57.489
MDA,2017,57.443
MDA,2018,57.371
MDG,2013,66.122
MDG,2014,65.466
MDG,2015,64.807
MDG,2016,64.144
MDG,2017,63.478
MDG,2018,62.809
MDV,2013,62.315
MDV,2014,61.894
MDV,2015,61.471
MDV,2016,61.046
MDV,2017,60.62
MDV,2018,60.192
MEX,2013,21.301
MEX,2014,21.007
MEX,2015,20.715
MEX,2016,20.423
MEX,2017,20.133
MEX,2018,19.844
MHL,2013,25.054
MHL,2014,24.616
MHL,2015,24.189
MHL,2016,23.772
MHL,2017,23.366
MHL,2018,22.969
MKD,2013,42.811
MKD,2014,42.716
MKD,2015,42.592
MKD,2016,42.437
MKD,2017,42.252
MKD,2018,42.037
MLI,2013,61.602
MLI,2014,60.804
MLI,2015,60.009
MLI,2016,59.217
MLI,2017,58.428
MLI,2018,57.644
MLT,2013,5.721
MLT,2014,5.653
MLT,2015,5.586
MLT,2016,5.52
MLT,2017,5.454
MLT,2018,5.388
MMR,2013,70.543
MMR,2014,70.35
MMR,2015,70.142
MMR,2016,69.918
MMR,2017,69.678
MMR,2018,69.421
MNE,2013,34.863
MNE,2014,34.529
MNE,2015,34.194
MNE,2016,33.859
MNE,2017,33.523
MNE,2018,33.187
MNG,2013,31.903
MNG,2014,31.837
MNG,2015,31.77
MNG,2016,31.703
MNG,2017,31.637
MNG,2018,31.555
MNP,2013,8.81
MNP,2014,8.727
MNP,2015,8.643
MNP,2016,8.557
MNP,2017,8.47
MNP,2018,8.382
MOZ,2013,66.64
MOZ,2014,66.122
MOZ,2015,65.6
MOZ,2016,65.074
MOZ,2017,64.545
MOZ,2018,64.012
MRT,2013,50.694
MRT,2014,49.797
MRT,2015,48.911
MRT,2016,48.038
MRT,2017,47.176
MRT,2018,46.328
MUS,2013,58.778
MUS,2014,58.889
MUS,2015,59
MUS,2016,59.09
MUS,2017,59.159
MUS,2018,59.207
MWI,2013,84.034
MWI,2014,83.868
MWI,2015,83.687
MWI,2016,83.494
MWI,2017,83.286
MWI,2018,83.063
MYS,2013,27.07
MYS,2014,26.423
MYS,2015,25.787
MYS,2016,25.16
MYS,2017,24.553
MYS,2018,23.964
NAM,2013,55.244
NAM,2014,54.174
NAM,2015,53.1
NAM,2016,52.039
NAM,2017,50.995
NAM,2018,49.968
NCL,2013,31.521
NCL,2014,31.069
NCL,2015,30.621
NCL,2016,30.179
NCL,2017,29.744
NCL,2018,29.317
NER,2013,83.792
NER,2014,83.781
NER,2015,83.753
NER,2016,83.71
NER,2017,83.65
NER,2018,83.575
NGA,2013,53.882
NGA,2014,53.018
NGA,2015,52.162
NGA,2016,51.317
NGA,2017,50.481
NGA,2018,49.656
NIC,2013,42.495
NIC,2014,42.3
NIC,2015,42.105
NIC,2016,41.91
NIC,2017,41.701
NIC,2018,41.478
NLD,2013,10.813
NLD,2014,10.31
NLD,2015,9.827
NLD,2016,9.365
NLD,2017,8.923
NLD,2018,8.51
NOR,2013,19.714
NOR,2014,19.308
NOR,2015,18.909
NOR,2016,18.515
NOR,2017,18.129
NOR,2018,17.752
NPL,2013,82.185
NPL,2014,81.818
NPL,2015,81.443
NPL,2016,81.058
NPL,2017,80.664
NPL,2018,80.26
NZL,2013,13.779
NZL,2014,13.719
NZL,2015,13.659
NZL,2016,13.6
NZL,2017,13.534
NZL,2018,13.462
OMN,2013,21.118
OMN,2014,19.855
OMN,2015,18.65
OMN,2016,17.5
OMN,2017,16.44
OMN,2018,15.461
PAK,2013,64.387
PAK,2014,64.181
PAK,2015,63.974
PAK,2016,63.766
PAK,2017,63.558
PAK,2018,63.334
PAN,2013,33.948
PAN,2014,33.629
PAN,2015,33.304
PAN,2016,32.973
PAN,2017,32.635
PAN,2018,32.291
PER,2013,23.011
PER,2014,22.827
PER,2015,22.643
PER,2016,22.461
PER,2017,22.28
PER,2018,22.093
PHL,2013,54.097
PHL,2014,53.907
PHL,2015,53.716
PHL,2016,53.525
PHL,2017,53.318
PHL,2018,53.093
PLW,2013,23.138
PLW,2014,22.483
PLW,2015,21.841
PLW,2016,21.225
PLW,2017,20.635
PLW,2018,20.07
PNG,2013,87.022
PNG,2014,87.012
PNG,2015,86.988
PNG,2016,86.95
PNG,2017,86.898
PNG,2018,86.831
POL,2013,39.471
POL,2014,39.597
POL,2015,39.722
POL,2016,39.822
POL,2017,39.895
POL,2018,39.942
PRI,2013,6.314
PRI,2014,6.349
PRI,2015,6.376
PRI,2016,6.398
PRI,2017,6.413
PRI,2018,6.422
PRK,2013,39.082
PRK,2014,38.902
PRK,2015,38.723
PRK,2016,38.529
PRK,2017,38.322
PRK,2018,38.101
PRT,2013,37.648
PRT,2014,37.064
PRT,2015,36.486
PRT,2016,35.914
PRT,2017,35.348
PRT,2018,34.789
PRY,2013,39.803
PRY,2014,39.526
PRY,2015,39.25
PRY,2016,38.974
PRY,2017,38.7
PRY,2018,38.415
PSE,2013,25.137
PSE,2014,24.887
PSE,2015,24.632
PSE,2016,24.372
PSE,2017,24.106
PSE,2018,23.836
PYF,2013,38.417
PYF,2014,38.367
PYF,2015,38.317
PYF,2016,38.266
PYF,2017,38.216
PYF,2018,38.166
QAT,2013,1.215
QAT,2014,1.132
QAT,2015,1.055
QAT,2016,0.985
QAT,2017,0.922
QAT,2018,0.865
ROU,2013,46.063
ROU,2014,46.1
ROU,2015,46.113
ROU,2016,46.1
ROU,2017,46.064
ROU,2018,46.002
RUS,2013,26.137
RUS,2014,26.05
RUS,2015,25.95
RUS,2016,25.836
RUS,2017,25.708
RUS,2018,25.567
RWA,2013,83.053
RWA,2014,83.033
RWA,2015,82.996
RWA,2016,82.944
RWA,2017,82.875
RWA,2018,82.789
SAU,2013,17.26
SAU,2014,17.04
SAU,2015,16.82
SAU,2016,16.599
SAU,2017,16.378
SAU,2018,16.156
SDN,2013,66.493
SDN,2014,66.311
SDN,2015,66.106
SDN,2016,65.879
SDN,2017,65.63
SDN,2018,65.358
SEN,2013,54.981
SEN,2014,54.564
SEN,2015,54.138
SEN,2016,53.704
SEN,2017,53.26
SEN,2018,52.808
SLB,2013,78.567
SLB,2014,78.104
SLB,2015,77.64
SLB,2016,77.177
SLB,2017,76.714
SLB,2018,76.251
SLE,2013,59.964
SLE,2014,59.568
SLE,2015,59.171
SLE,2016,58.772
SLE,2017,58.364
SLE,2018,57.945
SLV,2013,31.964
SLV,2014,31.126
SLV,2015,30.3
SLV,2016,29.499
SLV,2017,28.725
SLV,2018,27.977
SMR,2013,3.63
SMR,2014,3.441
SMR,2015,3.261
SMR,2016,3.09
SMR,2017,2.928
SMR,2018,2.774
SOM,2013,57.883
SOM,2014,57.321
SOM,2015,56.755
SOM,2016,56.184
SOM,2017,55.609
SOM,2018,55.029
SRB,2013,44.531
SRB,2014,44.417
SRB,2015,44.304
SRB,2016,44.19
SRB,2017,44.058
SRB,2018,43.908
SSD,2013,81.585
SSD,2014,81.374
SSD,2015,81.148
SSD,2016,80.908
SSD,2017,80.654
SSD,2018,80.385
STP,2013,31.792
STP,2014,30.787
STP,2015,29.826
STP,2016,28.908
STP,2017,28.032
STP,2018,27.197
SUR,2013,33.86
SUR,2014,33.911
SUR,2015,33.944
SUR,2016,33.96
SUR,2017,33.959
SUR,2018,33.94
SVK,2013,45.86
SVK,2014,46
SVK,2015,46.111
SVK,2016,46.194
SVK,2017,46.249
SVK,2018,46.274
SVN,2013,46.668
SVN,2014,46.443
SVN,2015,46.219
SVN,2016,45.98
SVN,2017,45.727
SVN,2018,45.459
SWE,2013,14.064
SWE,2014,13.753
SWE,2015,13.447
SWE,2016,13.148
SWE,2017,12.854
SWE,2018,12.569
SYC,2013,45.463
SYC,2014,45.031
SYC,2015,44.6
SYC,2016,44.169
SYC,2017,43.739
SYC,2018,43.309
SYR,2013,47.471
SYR,2014,48.5
SYR,2015,47.832
SYR,2016,47.165
SYR,2017,46.5
SYR,2018,45.838
TCA,2013,8.517
TCA,2014,8.149
TCA,2015,7.805
TCA,2016,7.483
TCA,2017,7.183
TCA,2018,6.902
TCD,2013,77.752
TCD,2014,77.628
TCD,2015,77.485
TCD,2016,77.323
TCD,2017,77.142
TCD,2018,76.941
TGO,2013,60.939
TGO,2014,60.421
TGO,2015,59.9
TGO,2016,59.372
TGO,2017,58.838
TGO,2018,58.298
THA,2013,53.807
THA,2014,53.057
THA,2015,52.306
THA,2016,51.552
THA,2017,50.8
THA,2018,50.051
TJK,2013,73.411
TJK,2014,73.345
TJK,2015,73.258
TJK,2016,73.149
TJK,2017,73.018
TJK,2018,72.866
TKM,2013,50.459
TKM,2014,50.079
TKM,2015,49.683
TKM,2016,49.272
TKM,2017,48.847
TKM,2018,48.407
TLS,2013,71.221
TLS,2014,70.867
TLS,2015,70.51
TLS,2016,70.15
TLS,2017,69.788
TLS,2018,69.422
TON,2013,76.618
TON,2014,76.672
TON,2015,76.725
TON,2016,76.778
TON,2017,76.831
TON,2018,76.869
TTO,2013,46.47
TTO,2014,46.587
TTO,2015,46.681
TTO,2016,46.75
TTO,2017,46.795
TTO,2018,46.816
TUN,2013,32.505
TUN,2014,32.228
TUN,2015,31.944
TUN,2016,31.654
TUN,2017,31.358
TUN,2018,31.055
TUR,2013,27.469
TUR,2014,26.923
TUR,2015,26.389
TUR,2016,25.866
TUR,2017,25.356
TUR,2018,24.857
TUV,2013,42.186
TUV,2014,41.214
TUV,2015,40.27
TUV,2016,39.355
TUV,2017,38.47
TUV,2018,37.613
TZA,2013,69.804
TZA,2014,69.096
TZA,2015,68.383
TZA,2016,67.667
TZA,2017,66.947
TZA,2018,66.224
UGA,2013,79.042
UGA,2014,78.496
UGA,2015,77.94
UGA,2016,77.376
UGA,2017,76.804
UGA,2018,76.226
UKR,2013,31.125
UKR,2014,31.032
UKR,2015,30.939
UKR,2016,30.846
UKR,2017,30.754
UKR,2018,30.648
URY,2013,5.157
URY,2014,5.055
URY,2015,4.955
URY,2016,4.856
URY,2017,4.76
URY,2018,4.666
USA,2013,18.701
USA,2014,18.517
USA,2015,18.329
USA,2016,18.138
USA,2017,17.942
USA,2018,17.744
UZB,2013,49.05
UZB,2014,49.15
UZB,2015,49.25
UZB,2016,49.35
UZB,2017,49.45
UZB,2018,49.522
VCT,2013,49.846
VCT,2014,49.442
VCT,2015,49.036
VCT,2016,48.627
VCT,2017,48.216
VCT,2018,47.802
VEN,2013,11.867
VEN,2014,11.856
VEN,2015,11.846
VEN,2016,11.835
VEN,2017,11.817
VEN,2018,11.792
VGB,2013,54.144
VGB,2014,53.784
VGB,2015,53.417
VGB,2016,53.043
VGB,2017,52.663
VGB,2018,52.277
VIR,2013,4.93
VIR,2014,4.787
VIR,2015,4.65
VIR,2016,4.52
VIR,2017,4.397
VIR,2018,4.279
VNM,2013,67.571
VNM,2014,66.885
VNM,2015,66.191
VNM,2016,65.49
VNM,2017,64.787
VNM,2018,64.081
VUT,2013,75.239
VUT,2014,75.139
VUT,2015,75.039
VUT,2016,74.938
VUT,2017,74.837
VUT,2018,74.726
WSM,2013,80.615
WSM,2014,80.851
WSM,2015,81.086
WSM,2016,81.319
WSM,2017,81.548
WSM,2018,81.757
YEM,2013,66.441
YEM,2014,65.835
YEM,2015,65.223
YEM,2016,64.606
YEM,2017,63.984
YEM,2018,63.358
ZAF,2013,36.207
ZAF,2014,35.688
ZAF,2015,35.172
ZAF,2016,34.659
ZAF,2017,34.15
ZAF,2018,33.645
ZMB,2013,59.135
ZMB,2014,58.618
ZMB,2015,58.093
ZMB,2016,57.562
ZMB,2017,57.024
ZMB,2018,56.479
ZWE,2013,67.346
ZWE,2014,67.496
ZWE,2015,67.615
ZWE,2016,67.704
ZWE,2017,67.763
ZWE,2018,67.791
