country_iso,year,school_enrollment_tertiary
SAU,1971,1.609150052
SEN,1971,1.386520028
SLE,1971,0.49267
SLV,1971,3.712069988
SOM,1971,0.303759992
SSA,1971,1.42572999
SSF,1971,1.425529957
SST,1971,4.767169952
SWE,1971,21.73185921
SWZ,1971,0.644879997
SYR,1971,7.491049767000001
TCD,1971,0.0
TEA,1971,1.15316999
TEC,1971,30.80702972
TGO,1971,0.47896999100000004
THA,1971,2.8610000610000004
TLA,1971,6.95028019
TMN,1971,5.572649956
TSA,1971,4.328700066000001
TSS,1971,1.425529957
TTO,1971,2.46901989
TUN,1971,2.808180094
TUR,1971,5.130360126
TZA,1971,0.18467000100000003
UGA,1971,0.540719986
UKR,1971,40.96968842
UMC,1971,6.306849957000001
USA,1971,47.31602097
VEN,1971,9.470720291000001
WLD,1971,9.913769722
WSM,1971,0.992160022
ZWE,1971,1.674620032
AFG,1972,0.951129973
ALB,1972,14.92790985
ARB,1972,6.234360218
ARG,1972,16.48376083
AUS,1972,18.38301086
AUT,1972,13.66956043
BDI,1972,0.174620003
BEL,1972,17.54558945
BEN,1972,0.236210003
BFA,1972,0.04693
BGD,1972,2.449630022
BGR,1972,15.50409985
BHR,1972,1.432240009
BLZ,1972,0.845589995
BRB,1972,4.20897007
BWA,1972,0.36309000799999996
CEB,1972,12.59642982
CHE,1972,10.58008003
CHL,1972,12.67716026
CIV,1972,1.103440046
CMR,1972,0.606149971
COD,1972,0.79527998
COG,1972,1.263599992
COL,1972,5.323170185
CRI,1972,10.37570953
CSS,1972,4.787660122
CUB,1972,4.8812699319999995
CYP,1972,1.460330009
CZE,1972,8.388420105
DNK,1972,22.05900955
DOM,1972,8.087320327999999
EAP,1972,1.423509955
EAR,1972,5.317200184
EAS,1972,3.089430094
ECA,1972,32.34880066
ECS,1972,24.96042061
ECU,1972,7.520720005
EGY,1972,8.112110138
EMU,1972,20.64627075
ESP,1972,9.646450043
ETH,1972,0.18865999600000002
EUU,1972,18.05545044
FCS,1972,2.9846398830000003
FIN,1972,13.6391201
FJI,1972,1.22420001
FRA,1972,19.63516998
GAB,1972,0.699299991
GBR,1972,15.43801022
GHA,1972,0.736559987
GRC,1972,12.97782993
GTM,1972,3.593879938
GUY,1972,1.663159966
HIC,1972,26.27264977
HKG,1972,7.718739986
HPC,1972,1.578580022
HUN,1972,10.24820995
IBD,1972,6.73623991
IBT,1972,6.0520401
IDA,1972,2.542049885
IDB,1972,3.146150112
IDN,1972,2.7390100960000003
IDX,1972,2.2770199780000002
IRL,1972,10.90818024
IRN,1972,3.3541200160000004
IRQ,1972,5.207650185
ISL,1972,11.06989956
ISR,1972,20.79117966
ITA,1972,19.51538086
JAM,1972,5.4857201579999995
JOR,1972,3.2901298999999997
KEN,1972,0.8342800140000001
KHM,1972,1.5009900330000001
KOR,1972,6.977459907999999
KWT,1972,5.092060088999999
LAC,1972,7.487460136
LAO,1972,0.180889994
LBN,1972,20.14296913
LBR,1972,1.141459942
LBY,1972,3.488470078
LCN,1972,7.905240059
LDC,1972,1.7587499619999998
LIC,1972,2.9855299
LMC,1972,5.9967298510000004
LMY,1972,6.014210224
LSO,1972,0.336650014
LTE,1972,6.413239956
LUX,1972,1.5357500309999998
MAR,1972,1.421049953
MDG,1972,1.206699967
MEA,1972,6.066080092999999
MEX,1972,5.754419803999999
MIC,1972,6.22382021
MLT,1972,8.61977005
MMR,1972,1.7466700080000002
MNA,1972,5.962590218
MNG,1972,19.72731972
MUS,1972,1.5768300290000001
NAC,1972,48.16534042
NER,1972,0.0
NIC,1972,5.042819977
NLD,1972,21.50315094
NOR,1972,17.0308609
NZL,1972,24.68465996
OED,1972,24.58876991
OSS,1972,5.202990055
PAK,1972,2.08378005
PAN,1972,12.08084011
PER,1972,10.00195026
PHL,1972,17.54122925
PNG,1972,1.9690300230000002
POL,1972,12.80278969
PRE,1972,1.5267900230000002
PRT,1972,7.588009834
PRY,1972,4.530099869
PSS,1972,2.23958993
PST,1972,28.21855927
ROU,1972,8.590299606
RUS,1972,44.67221832
SAS,1972,4.368549824
SAU,1972,1.7173800469999998
SEN,1972,1.496019959
SLE,1972,0.53707999
SOM,1972,0.299299985
SSA,1972,1.458140016
SSF,1972,1.4579000469999999
SST,1972,4.863550186
SWE,1972,22.47084045
SWZ,1972,0.677039981
SYR,1972,8.595140457000001
TCD,1972,0.01454
TEA,1972,1.1902899740000001
TEC,1972,30.27119064
TGO,1972,0.7424499990000001
THA,1972,3.0438899989999997
TLA,1972,7.80136013
TMN,1972,5.8713798520000005
TSA,1972,4.368549824
TSS,1972,1.4579000469999999
TTO,1972,2.597820044
TUN,1972,2.707340002
TUR,1972,4.902050018
TZA,1972,0.21797999699999998
UGA,1972,0.623430014
UMC,1972,6.385789871
USA,1972,48.18965149
VEN,1972,11.10634041
WLD,1972,10.10785961
ZWE,1972,1.624549985
AFG,1973,1.094589949
ARB,1973,6.596809864
ARG,1973,19.61808014
AUS,1973,19.59012985
AUT,1973,15.10840034
BDI,1973,0.164120004
BEL,1973,19.5174408
BEN,1973,0.430500001
BFA,1973,0.054949999000000006
BGD,1973,2.560559988
BGR,1973,17.13919067
BHR,1973,1.432469964
BRB,1973,5.099309921000001
BWA,1973,0.417210013
CEB,1973,12.80148029
CHE,1973,11.37127972
CHL,1973,14.1505003
CHN,1973,0.206389993
CIV,1973,1.257429957
CMR,1973,0.768050015
COD,1973,0.8370000120000001
COG,1973,1.728870034
COL,1973,5.720880032
CRI,1973,11.41808987
CSS,1973,5.021259785
CUB,1973,6.290440082999999
CYP,1973,1.599149942
CZE,1973,8.460929871
DNK,1973,25.35852051
DOM,1973,8.278960227999999
EAP,1973,1.474339962
EAR,1973,5.523789882999999
EAS,1973,3.1747798919999997
ECA,1973,31.8862896
ECS,1973,25.3990593
ECU,1973,9.369290352
EGY,1973,9.438420296
EMU,1973,21.95080948
ESP,1973,14.12903023
ETH,1973,0.147029996
EUU,1973,19.00275993
FCS,1973,3.04189992
FIN,1973,14.27227974
FJI,1973,1.503540039
FRA,1973,21.39669991
GAB,1973,0.798940003
GBR,1973,16.06583977
GHA,1973,0.813610017
GRC,1973,14.04695034
GTM,1973,3.858479977
GUY,1973,1.808069944
HIC,1973,27.27688026
HKG,1973,8.040269852
HPC,1973,1.6244499680000002
HUN,1973,10.32573986
IBD,1973,6.86537981
IBT,1973,6.175680161
IDA,1973,2.615499973
IDB,1973,3.2644100189999996
IDN,1973,2.661570072
IDX,1973,2.327620029
IND,1973,4.983210087
IRL,1973,11.0017004
IRN,1973,3.771480083
IRQ,1973,5.535140038
ISL,1973,12.38255978
ISR,1973,22.943340300000003
ITA,1973,20.35189056
JAM,1973,5.990590096
JOR,1973,4.150269985
KEN,1973,0.9320300220000001
KHM,1973,1.3641500469999999
KOR,1973,7.150650024
KWT,1973,5.913670063
LAC,1973,8.417830467
LAO,1973,0.148729995
LBR,1973,1.33987999
LBY,1973,4.326819897
LCN,1973,8.849579811
LDC,1973,1.784839988
LIC,1973,3.1609699730000003
LKA,1973,1.087970018
LMC,1973,6.015910149
LMY,1973,6.13767004
LSO,1973,0.451790005
LTE,1973,6.52820015
LUX,1973,1.954939961
MAR,1973,1.708179951
MDG,1973,1.367580056
MEA,1973,6.550360202999999
MIC,1973,6.343589783
MLT,1973,8.435319901
MMR,1973,1.760200024
MNA,1973,6.428549767000001
MNG,1973,18.85531044
MOZ,1973,0.307669997
MUS,1973,1.609380007
MWI,1973,0.44600999399999997
NAC,1973,48.6033287
NER,1973,0.054140002
NIC,1973,4.317659855
NOR,1973,18.69786072
NZL,1973,25.0360508
OED,1973,25.5042305
OSS,1973,5.175230026
PAK,1973,2.094939947
PAN,1973,13.8505497
PER,1973,11.17708015
PHL,1973,17.1842804
PNG,1973,1.97863996
POL,1973,13.32549
PRE,1973,1.5858700280000002
PRT,1973,7.727350235
PRY,1973,4.830120087
PSS,1973,2.4358899590000003
PST,1973,29.20433044
ROU,1973,8.031330108999999
RUS,1973,44.17547989
RWA,1973,0.196219996
SAS,1973,4.4196901319999995
SAU,1973,1.965080023
SLE,1973,0.576830029
SLV,1973,5.594500065
SSA,1973,1.4912699459999998
SSF,1973,1.491009951
SST,1973,4.926400185
SWE,1973,22.05702972
SWZ,1973,0.6875799890000001
SYR,1973,8.120710373
TCD,1973,0.073169999
TEA,1973,1.220430017
