country_iso,year,electrification
FRO,1992,100.0
GBR,1992,100.0
GIB,1992,100.0
GRC,1992,100.0
GRL,1992,100.0
HIC,1992,99.83658431
HKG,1992,100.0
HND,1992,58.913112
HRV,1992,100.0
HUN,1992,100.0
IDN,1992,65.77059937
IMN,1992,100.0
IRL,1992,100.0
ISL,1992,100.0
ISR,1992,100.0
ITA,1992,100.0
JAM,1992,77.53232574
JOR,1992,97.56994629
JPN,1992,100.0
KWT,1992,100.0
LAC,1992,87.92152987
LCN,1992,88.16771558
LIE,1992,100.0
LTE,1992,93.56522695
LTU,1992,100.0
LUX,1992,100.0
LVA,1992,100.0
MAR,1992,49.2
MCO,1992,100.0
MDA,1992,100.0
MDG,1992,9.2
MEX,1992,93.145981
MKD,1992,100.0
MLT,1992,100.0
MNE,1992,100.0
MWI,1992,3.2
NAC,1992,100.0
NAM,1992,26.4
NER,1992,4.4
NGA,1992,35.30933762
NLD,1992,100.0
NOR,1992,100.0
NZL,1992,100.0
OED,1992,99.32241652
PAN,1992,73.35781097
PER,1992,70.1
POL,1992,100.0
PRT,1992,100.0
PST,1992,100.0
PYF,1992,100.0
QAT,1992,100.0
ROU,1992,100.0
RUS,1992,100.0
RWA,1992,2.3
SDN,1992,27.34406281
SGP,1992,100.0
SLV,1992,74.93656921
SMR,1992,100.0
SRB,1992,100.0
SVK,1992,100.0
SVN,1992,100.0
SWE,1992,100.0
TCA,1992,91.13143921
TEA,1992,90.00079961
TEC,1992,100.0
TLA,1992,88.14889844
TZA,1992,6.8
UGA,1992,2.497284412
UKR,1992,100.0
UMC,1992,93.63017866
URY,1992,97.37413788
USA,1992,100.0
VCT,1992,69.02270508
VEN,1992,97.820203
VIR,1992,100.0
WSM,1992,80.73627472
XKX,1992,100.0
YEM,1992,44.1
ZMB,1992,19.2
ZWE,1992,28.2
ABW,1993,99.3052063
ALB,1993,100.0
AND,1993,100.0
ARE,1993,100.0
AUS,1993,100.0
AUT,1993,100.0
BEL,1993,100.0
BFA,1993,6.1
BGD,1993,14.5696516
BGR,1993,100.0
BHS,1993,100.0
BIH,1993,100.0
BLR,1993,100.0
BLZ,1993,71.41932678
BMU,1993,100.0
BOL,1993,61.25801086
BRA,1993,89.999927
BRN,1993,100.0
BWA,1993,12.62602806
CAN,1993,100.0
CEB,1993,100.0
CHE,1993,100.0
CHL,1993,95.11835479999999
CHN,1993,94.23894501
CIV,1993,40.03924942
CMR,1993,33.81231689
COL,1993,91.55488586
CUW,1993,100.0
CYM,1993,100.0
CYP,1993,100.0
CZE,1993,100.0
DEU,1993,100.0
DNK,1993,100.0
DOM,1993,82.63909149
EAP,1993,87.56045708
EAR,1993,54.45592315
EAS,1993,88.77219779
