country_iso,year,feature_films_produced
MLT,2011,1.0
MLT,2012,4.0
MLT,2013,2.0
MLT,2014,5.0
MLT,2015,7.0
MLT,2016,6.0
MLT,2017,5.0
MUS,2011,1.0
MUS,2014,18.0
MUS,2015,9.0
MUS,2016,17.0
MUS,2017,9.0
MDA,2013,3.0
MDA,2014,2.0
MDA,2015,1.0
MNG,2011,13.0
MNG,2012,13.0
MNG,2013,21.0
MNG,2014,13.0
MNG,2015,41.0
MNG,2016,59.0
MNG,2017,55.0
MAR,2011,24.0
MAR,2012,22.0
MAR,2013,22.0
MAR,2014,17.0
MAR,2015,18.0
MAR,2016,30.0
MAR,2017,37.0
MOZ,2014,11.0
MOZ,2015,25.0
MOZ,2016,23.0
MOZ,2017,31.0
MMR,2014,9.0
MMR,2015,32.0
NER,2011,6.0
NGA,2011,997.0
OMN,2016,8.0
OMN,2017,4.0
PAK,2016,20.0
PAK,2017,15.0
PER,2011,8.0
PER,2012,8.0
PER,2013,12.0
PER,2014,17.0
PER,2015,30.0
PER,2016,24.0
PER,2017,23.0
PHL,2011,44.0
PHL,2012,78.0
PHL,2013,53.0
PRI,2011,10.0
PRI,2012,8.0
PRI,2013,6.0
PRI,2014,4.0
PRI,2015,3.0
ROU,2011,17.0
ROU,2012,38.0
ROU,2013,37.0
ROU,2014,38.0
ROU,2015,26.0
ROU,2016,32.0
ROU,2017,28.0
RUS,2011,111.0
RUS,2012,109.0
RUS,2013,139.0
RUS,2014,124.0
RUS,2015,121.0
RUS,2016,138.0
RUS,2017,128.0
SGP,2011,15.0
SGP,2012,12.0
SGP,2013,13.0
SGP,2014,26.0
SGP,2015,21.0
SGP,2016,16.0
SGP,2017,13.0
SVN,2011,19.0
SVN,2012,10.0
SVN,2013,13.0
SVN,2014,12.0
SVN,2015,20.0
SVN,2016,20.0
SVN,2017,21.0
ZAF,2011,22.0
ZAF,2012,19.0
ZAF,2013,25.0
ZAF,2014,23.0
ZAF,2015,22.0
ZAF,2016,28.0
ZAF,2017,23.0
LKA,2012,16.0
LKA,2013,15.0
SYR,2011,5.0
TJK,2012,9.0
TJK,2013,9.0
THA,2017,80.0
TGO,2012,18.0
TGO,2013,23.0
TGO,2014,16.0
TGO,2015,19.0
TGO,2017,3.0
TUN,2011,11.0
TUN,2012,8.0
TUN,2013,8.0
TUN,2015,11.0
UKR,2011,3.0
UKR,2012,7.0
UKR,2013,12.0
UKR,2014,7.0
UKR,2015,3.0
UKR,2016,20.0
UKR,2017,19.0
ARE,2014,6.0
ARE,2015,11.0
ARE,2016,69.0
ARE,2017,85.0
URY,2011,8.0
URY,2012,15.0
URY,2013,11.0
URY,2014,11.0
URY,2015,11.0
UZB,2012,66.0
UZB,2013,53.0
UZB,2014,57.0
UZB,2015,47.0
UZB,2016,81.0
UZB,2017,92.0
VEN,2011,16.0
VEN,2012,13.0
VEN,2013,21.0
VEN,2014,17.0
VEN,2015,29.0
VEN,2016,26.0
VEN,2017,16.0
VNM,2011,75.0
MAC,2011,1.0
MAC,2012,1.0
MAC,2013,4.0
MAC,2014,8.0
MAC,2015,7.0
MAC,2016,7.0
MAC,2017,5.0
SRB,2011,29.0
SRB,2012,29.0
SRB,2013,18.0
SRB,2014,35.0
SRB,2015,35.0
SRB,2016,38.0
SRB,2017,36.0
BTN,2011,29.0
SEN,2011,5.0
SEN,2012,2.0
SEN,2013,3.0
SEN,2014,3.0
SEN,2015,3.0
SEN,2016,5.0
SEN,2017,2.0
MNE,2011,4.0
MNE,2012,4.0
MNE,2013,3.0
MNE,2014,10.0
MNE,2015,6.0
ERI,2012,41.0
ERI,2013,39.0
ERI,2014,35.0
ERI,2015,28.0
ERI,2016,15.0
ERI,2017,11.0
BDI,2014,7.0
BDI,2015,1.0
BDI,2016,14.0
BDI,2017,5.0
MHL,2015,1.0
MHL,2016,1.0
PSE,2014,2.0
PSE,2015,5.0
PSE,2016,1.0
PSE,2017,4.0
SSD,2015,43.0
KWT,2016,6.0
KWT,2017,6.0
QAT,2016,54.0
QAT,2017,54.0
