country_iso,year,mortality_rate
MCO,2017,2.7
MCO,2018,2.6
MDA,2013,14.3
MDA,2014,14.1
MDA,2015,14
MDA,2016,13.9
MDA,2017,13.8
MDA,2018,13.6
MDG,2013,42.6
MDG,2014,41.6
MDG,2015,40.8
MDG,2016,39.9
MDG,2017,39.1
MDG,2018,38.2
MDV,2013,9.7
MDV,2014,9.1
MDV,2015,8.6
MDV,2016,8.1
MDV,2017,7.7
MDV,2018,7.4
MEX,2013,13.7
MEX,2014,13.2
MEX,2015,12.7
MEX,2016,12.2
MEX,2017,11.6
MEX,2018,11
MHL,2013,30.6
MHL,2014,30.1
MHL,2015,29.5
MHL,2016,28.8
MHL,2017,28.1
MHL,2018,27.4
MKD,2013,9.9
MKD,2014,10.5
MKD,2015,10.8
MKD,2016,10.5
MKD,2017,9.7
MKD,2018,8.7
MLI,2013,71
MLI,2014,69.1
MLI,2015,67.2
MLI,2016,65.4
MLI,2017,63.6
MLI,2018,62
MLT,2013,6
MLT,2014,6
MLT,2015,6.1
MLT,2016,6.1
MLT,2017,6.1
MLT,2018,6.1
MMR,2013,43.5
MMR,2014,42
MMR,2015,40.6
MMR,2016,39.3
MMR,2017,38
MMR,2018,36.8
MNE,2013,4
MNE,2014,3.5
MNE,2015,3.1
MNE,2016,2.8
MNE,2017,2.5
MNE,2018,2.3
MNG,2013,17.7
MNG,2014,16.7
MNG,2015,15.9
MNG,2016,15.2
MNG,2017,14.6
MNG,2018,14
MOZ,2013,63.1
MOZ,2014,61.2
MOZ,2015,59.3
MOZ,2016,57.5
MOZ,2017,55.5
MOZ,2018,54
MRT,2013,58.1
MRT,2014,56.7
MRT,2015,55.4
MRT,2016,54.1
MRT,2017,52.8
MRT,2018,51.5
MUS,2013,12.8
MUS,2014,12.6
MUS,2015,12.5
MUS,2016,12.6
MUS,2017,12.9
MUS,2018,13.6
MWI,2013,45.2
MWI,2014,42.3
MWI,2015,40.3
MWI,2016,38.3
MWI,2017,36.8
MWI,2018,35.3
MYS,2013,6.8
MYS,2014,6.8
MYS,2015,6.8
MYS,2016,6.8
MYS,2017,6.7
MYS,2018,6.7
NAM,2013,35.3
NAM,2014,34.4
NAM,2015,33.5
NAM,2016,30.6
NAM,2017,29.7
NAM,2018,29
NER,2013,55.2
NER,2014,53.5
NER,2015,52
NER,2016,50.5
NER,2017,49.1
NER,2018,48
NGA,2013,80.5
NGA,2014,79.6
NGA,2015,78.7
NGA,2016,77.9
NGA,2017,76.9
NGA,2018,75.7
NIC,2013,16.4
NIC,2014,16.3
NIC,2015,16.1
NIC,2016,16
NIC,2017,15.9
NIC,2018,15.7
NLD,2013,3.5
NLD,2014,3.5
NLD,2015,3.4
NLD,2016,3.4
NLD,2017,3.3
NLD,2018,3.3
NOR,2013,2.3
NOR,2014,2.3
NOR,2015,2.2
NOR,2016,2.1
NOR,2017,2.1
NOR,2018,2.1
NPL,2013,32.5
NPL,2014,31.1
NPL,2015,29.8
NPL,2016,28.7
NPL,2017,27.6
NPL,2018,26.7
NRU,2013,30.1
NRU,2014,29.5
NRU,2015,28.7
NRU,2016,28
NRU,2017,27.2
NRU,2018,26.4
NZL,2013,5
NZL,2014,5
NZL,2015,4.9
NZL,2016,4.9
NZL,2017,4.8
NZL,2018,4.7
OMN,2013,9.7
OMN,2014,9.7
OMN,2015,9.7
OMN,2016,9.7
OMN,2017,9.8
OMN,2018,9.8
PAK,2013,65.4
PAK,2014,63.7
PAK,2015,62.1
PAK,2016,60.5
PAK,2017,58.8
PAK,2018,57.2
PAN,2013,15.5
PAN,2014,15
PAN,2015,14.5
PAN,2016,14
PAN,2017,13.6
PAN,2018,13.1
PER,2013,13.7
PER,2014,13.1
PER,2015,12.5
PER,2016,12
PER,2017,11.5
PER,2018,11.1
PHL,2013,24.2
PHL,2014,24
PHL,2015,23.7
PHL,2016,23.4
PHL,2017,22.9
PHL,2018,22.5
PLW,2013,19.4
PLW,2014,18.9
PLW,2015,18.3
PLW,2016,17.7
PLW,2017,17.1
PLW,2018,16.6
PNG,2013,42.4
PNG,2014,41.5
PNG,2015,40.7
PNG,2016,39.8
PNG,2017,38.9
PNG,2018,38
POL,2013,4.5
POL,2014,4.3
POL,2015,4.2
POL,2016,4
POL,2017,3.9
POL,2018,3.8
PRK,2013,18.3
PRK,2014,17
PRK,2015,16
PRK,2016,15.1
PRK,2017,14.4
PRK,2018,13.7
PRT,2013,3
PRT,2014,3
PRT,2015,3
PRT,2016,3
PRT,2017,3.1
PRT,2018,3.1
PRY,2013,20.1
PRY,2014,19.5
PRY,2015,18.9
PRY,2016,18.4
PRY,2017,17.8
PRY,2018,17.2
PSE,2013,19
PSE,2014,18.8
PSE,2015,18.5
PSE,2016,18.1
PSE,2017,17.7
PSE,2018,17.3
QAT,2013,7.2
QAT,2014,7
QAT,2015,6.7
QAT,2016,6.4
QAT,2017,6.1
QAT,2018,5.8
ROU,2013,9
ROU,2014,8.4
ROU,2015,7.8
ROU,2016,7.1
ROU,2017,6.6
ROU,2018,6.1
RUS,2013,8.1
RUS,2014,7.7
RUS,2015,7.3
RUS,2016,6.9
RUS,2017,6.5
RUS,2018,6.1
RWA,2013,34.5
RWA,2014,32.5
RWA,2015,30.8
RWA,2016,29.3
RWA,2017,28.2
RWA,2018,27
SAU,2013,8.5
SAU,2014,7.9
SAU,2015,7.3
SAU,2016,6.8
SAU,2017,6.4
SAU,2018,6
SDN,2013,47.6
SDN,2014,46.5
SDN,2015,45.4
SDN,2016,44.4
SDN,2017,43.3
SDN,2018,42.1
SEN,2013,37.8
SEN,2014,36.4
SEN,2015,35.1
SEN,2016,33.9
SEN,2017,32.8
SEN,2018,31.8
SGP,2013,2.2
SGP,2014,2.2
SGP,2015,2.2
SGP,2016,2.2
SGP,2017,2.2
SGP,2018,2.3
SLB,2013,19.9
SLB,2014,19.3
SLB,2015,18.8
SLB,2016,18.2
SLB,2017,17.6
SLB,2018,17.1
SLE,2013,95.5
SLE,2014,91.5
SLE,2015,87.8
SLE,2016,84.4
SLE,2017,81.3
SLE,2018,78.5
SLV,2013,14.3
SLV,2014,13.7
SLV,2015,13.2
SLV,2016,12.7
SLV,2017,12.2
SLV,2018,11.8
SMR,2013,2.1
SMR,2014,2
SMR,2015,2
SMR,2016,1.9
SMR,2017,1.8
SMR,2018,1.7
SOM,2013,88
SOM,2014,85.6
SOM,2015,83.1
SOM,2016,81
SOM,2017,78.8
SOM,2018,76.6
SRB,2013,6
SRB,2014,5.7
SRB,2015,5.5
SRB,2016,5.2
SRB,2017,5
SRB,2018,4.8
SSD,2013,64
SSD,2014,63.7
SSD,2015,63.7
SSD,2016,63.7
SSD,2017,63.7
SSD,2018,63.7
STP,2013,29.2
STP,2014,28.1
STP,2015,27
STP,2016,26.1
STP,2017,25.2
STP,2018,24.4
SUR,2013,19.8
SUR,2014,19.2
SUR,2015,18.6
SUR,2016,18
SUR,2017,17.4
SUR,2018,16.9
SVK,2013,5.3
SVK,2014,5.2
SVK,2015,5
SVK,2016,4.9
SVK,2017,4.8
SVK,2018,4.6
SVN,2013,2.2
SVN,2014,2.1
SVN,2015,2
SVN,2016,1.9
SVN,2017,1.8
SVN,2018,1.7
SWE,2013,2.4
SWE,2014,2.4
SWE,2015,2.3
SWE,2016,2.3
SWE,2017,2.2
SWE,2018,2.2
SYC,2013,12.5
SYC,2014,12.6
SYC,2015,12.7
SYC,2016,12.7
SYC,2017,12.6
SYC,2018,12.4
SYR,2013,14.1
SYR,2014,14.1
SYR,2015,14.1
SYR,2016,14.1
SYR,2017,14
SYR,2018,14
TCD,2013,79.8
TCD,2014,78.1
TCD,2015,76.5
TCD,2016,74.8
TCD,2017,73.1
TCD,2018,71.4
TGO,2013,54.2
TGO,2014,52.8
TGO,2015,51.4
TGO,2016,50
TGO,2017,48.7
TGO,2018,47.4
THA,2013,9.9
THA,2014,9.4
THA,2015,9
THA,2016,8.6
THA,2017,8.2
THA,2018,7.8
TJK,2013,34.5
TJK,2014,33.7
TJK,2015,32.9
TJK,2016,32.1
TJK,2017,31.3
TJK,2018,30.4
TKM,2013,45.9
TKM,2014,44.6
TKM,2015,43.2
TKM,2016,41.8
TKM,2017,40.6
TKM,2018,39.3
TLS,2013,46.4
TLS,2014,44.8
TLS,2015,43.4
TLS,2016,42
TLS,2017,40.7
TLS,2018,39.3
TON,2013,14.9
TON,2014,14.7
TON,2015,14.4
TON,2016,14.1
TON,2017,13.8
TON,2018,13.4
TTO,2013,19.1
TTO,2014,18.6
TTO,2015,18
TTO,2016,17.4
TTO,2017,16.9
TTO,2018,16.4
TUN,2013,15
TUN,2014,14.9
TUN,2015,14.8
TUN,2016,14.7
TUN,2017,14.7
TUN,2018,14.6
TUR,2013,12.3
TUR,2014,11.5
TUR,2015,10.9
TUR,2016,10.3
TUR,2017,9.7
TUR,2018,9.1
TUV,2013,23.9
TUV,2014,23.2
TUV,2015,22.5
TUV,2016,21.9
TUV,2017,21.2
TUV,2018,20.6
TZA,2013,43.9
TZA,2014,43
TZA,2015,41.9
TZA,2016,40.6
TZA,2017,38.8
TZA,2018,37.6
UGA,2013,42.7
UGA,2014,40.4
UGA,2015,38.6
UGA,2016,36.8
UGA,2017,35.2
UGA,2018,33.8
UKR,2013,8.7
UKR,2014,8.4
UKR,2015,8.1
UKR,2016,7.9
UKR,2017,7.7
UKR,2018,7.5
URY,2013,8.2
URY,2014,7.9
URY,2015,7.6
URY,2016,7.2
URY,2017,6.8
URY,2018,6.4
USA,2013,6
USA,2014,5.9
USA,2015,5.8
USA,2016,5.8
USA,2017,5.7
USA,2018,5.6
UZB,2013,26.3
UZB,2014,24.6
UZB,2015,23
UZB,2016,21.5
UZB,2017,20.2
UZB,2018,19.1
VCT,2013,17.1
VCT,2014,16.6
VCT,2015,16.2
VCT,2016,15.7
VCT,2017,15.3
VCT,2018,14.8
VEN,2013,14.9
VEN,2014,14.9
VEN,2015,16.8
VEN,2016,21.4
VEN,2017,21.4
VEN,2018,21.4
VNM,2013,17.8
VNM,2014,17.6
VNM,2015,17.4
VNM,2016,17.2
VNM,2017,16.9
VNM,2018,16.5
VUT,2013,24.6
VUT,2014,24.3
VUT,2015,23.9
VUT,2016,23.4
VUT,2017,22.9
VUT,2018,22.3
WSM,2013,15.4
WSM,2014,15.1
WSM,2015,14.8
WSM,2016,14.4
WSM,2017,14
WSM,2018,13.6
YEM,2013,42.9
YEM,2014,42.9
YEM,2015,42.9
YEM,2016,42.9
YEM,2017,42.9
YEM,2018,42.9
ZAF,2013,34.1
ZAF,2014,32.9
ZAF,2015,31.4
ZAF,2016,30.7
ZAF,2017,29.6
ZAF,2018,28.5
ZMB,2013,47.8
ZMB,2014,45.9
ZMB,2015,44.5
ZMB,2016,43.1
ZMB,2017,41.5
ZMB,2018,40.4
ZWE,2013,42.8
ZWE,2014,40.4
ZWE,2015,38.5
ZWE,2016,36.3
ZWE,2017,35.4
ZWE,2018,33.9
