country_iso,year,poverty_ratio
LMC,2015,14.1
LMY,2015,11.8
LTU,2015,0.7
LUX,2015,0.2
LVA,2015,0.7
MDA,2015,0.0
MEA,2015,4.2
MKD,2015,5.2
MLT,2015,0.0
MMR,2015,6.2
MYS,2015,0.0
NAM,2015,13.4
NLD,2015,0.0
NOR,2015,0.2
PAK,2015,3.9
PAN,2015,2.0
PER,2015,3.6
PHL,2015,6.1
POL,2015,0.5
PRT,2015,0.5
PRY,2015,1.9
ROU,2015,5.7
RUS,2015,0.0
SLV,2015,1.9
SRB,2015,5.5
SSF,2015,41.4
SVK,2015,0.7
SVN,2015,0.0
SWE,2015,0.5
TGO,2015,49.2
THA,2015,0.0
TJK,2015,4.8
TON,2015,1.0
TUN,2015,0.3
TUR,2015,0.3
UKR,2015,0.1
UMC,2015,1.6
URY,2015,0.1
WLD,2015,10.0
XKX,2015,0.4
ZMB,2015,57.5
ARG,2016,0.7
ARM,2016,1.8
BGD,2016,14.8
BLR,2016,0.0
BOL,2016,7.1
BRA,2016,4.3
COL,2016,4.5
CRI,2016,1.3
DOM,2016,1.6
ECU,2016,3.6
GEO,2016,3.9
GHA,2016,13.3
HND,2016,16.0
IDN,2016,6.5
IRN,2016,0.3
ISR,2016,0.2
KAZ,2016,0.0
KGZ,2016,1.4
LBR,2016,40.9
LCA,2016,4.7
LKA,2016,0.8
MDA,2016,0.2
MEX,2016,2.2
MNG,2016,0.6
MWI,2016,70.3
PAN,2016,2.2
PER,2016,3.5
PRY,2016,1.7
PSE,2016,1.0
RWA,2016,55.5
SLV,2016,2.2
THA,2016,0.0
TUR,2016,0.2
UGA,2016,41.7
UKR,2016,0.1
URY,2016,0.1
USA,2016,1.2
VNM,2016,2.0
XKX,2016,0.6
ARG,2017,0.5
ARM,2017,1.4
BLR,2017,0.0
BOL,2017,5.8
BRA,2017,4.8
BTN,2017,1.5
CHL,2017,0.7
COL,2017,3.9
CRI,2017,1.0
DJI,2017,17.1
ECU,2017,3.2
GAB,2017,3.4
GEO,2017,5.0
HND,2017,17.2
IDN,2017,5.7
KAZ,2017,0.0
KGZ,2017,1.5
MDA,2017,0.1
PAN,2017,2.5
PER,2017,3.4
PRY,2017,1.2
SLV,2017,1.9
THA,2017,0.0
URY,2017,0.1
XKX,2017,0.2
