country_iso,year,life_expectancy
CRI,2016,79.738
CRI,2017,79.914
CUB,2013,78.485
CUB,2014,78.521
CUB,2015,78.561
CUB,2016,78.607
CUB,2017,78.662
CUW,2013,77.82683
CUW,2014,77.97561
CUW,2015,78.07561
CUW,2016,77.71951
CUW,2017,78.01707
CYP,2013,79.999
CYP,2014,80.178
CYP,2015,80.35
CYP,2016,80.513
CYP,2017,80.672
CZE,2013,78.17561
CZE,2014,78.82439
CZE,2015,78.57805
CZE,2016,79.02683
CZE,2017,79.47561
DEU,2013,80.49024
DEU,2014,81.09024
DEU,2015,80.64146
DEU,2016,80.99024
DEU,2017,80.99024
DJI,2013,62.239
DJI,2014,63.171
DJI,2015,64.136
DJI,2016,65.064
DJI,2017,65.893
DNK,2013,80.3
DNK,2014,80.7
DNK,2015,80.70244
DNK,2016,80.85366
DNK,2017,81.00488
DOM,2013,72.763
DOM,2014,73.003
DOM,2015,73.241
DOM,2016,73.471
DOM,2017,73.689
DZA,2013,75.661
DZA,2014,75.878
DZA,2015,76.09
DZA,2016,76.298
DZA,2017,76.499
ECU,2013,75.707
ECU,2014,75.923
ECU,2015,76.143
ECU,2016,76.365
ECU,2017,76.584
EGY,2013,70.928
EGY,2014,71.117
EGY,2015,71.302
EGY,2016,71.482
EGY,2017,71.656
ERI,2013,63.726
ERI,2014,64.201
ERI,2015,64.664
ERI,2016,65.111
ERI,2017,65.538
ESP,2013,83.07805
ESP,2014,83.22927
ESP,2015,82.83171
ESP,2016,83.32927
ESP,2017,83.32927
EST,2013,77.14146
EST,2014,77.03415
EST,2015,77.59024
EST,2016,77.64146
EST,2017,77.64146
ETH,2013,63.961
ETH,2014,64.547
ETH,2015,65.048
ETH,2016,65.482
ETH,2017,65.872
FIN,2013,80.97561
FIN,2014,81.18049
FIN,2015,81.48049
FIN,2016,81.42927
FIN,2017,81.42927
FJI,2013,66.95
FJI,2014,67.03
FJI,2015,67.103
FJI,2016,67.175
FJI,2017,67.252
FRA,2013,82.21951
FRA,2014,82.67073
FRA,2015,82.32195
FRA,2016,82.52439
FRA,2017,82.52439
FRO,2013,81.39268
FRO,2014,81.69512
FRO,2015,81.94634
FRO,2016,82.19756
FRO,2017,82.4
FSM,2013,66.986
FSM,2014,67.152
FSM,2015,67.315
FSM,2016,67.471
FSM,2017,67.618
GAB,2013,63.648
GAB,2014,64.318
GAB,2015,64.913
GAB,2016,65.418
GAB,2017,65.839
GBR,2013,81.00488
GBR,2014,81.30488
GBR,2015,80.9561
GBR,2016,81.1561
GBR,2017,81.1561
GEO,2013,72.412
GEO,2014,72.707
GEO,2015,72.973
GEO,2016,73.207
GEO,2017,73.414
GHA,2013,62.064
GHA,2014,62.416
GHA,2015,62.772
GHA,2016,63.124
GHA,2017,63.463
GIN,2013,58.447
GIN,2014,59.016
GIN,2015,59.598
GIN,2016,60.17
GIN,2017,60.706
GMB,2013,60.426
GMB,2014,60.667
GMB,2015,60.91
GMB,2016,61.166
GMB,2017,61.44
GNB,2013,56.117
GNB,2014,56.556
GNB,2015,56.959
GNB,2016,57.328
GNB,2017,57.673
GNQ,2013,56.642
GNQ,2014,57.001
GNQ,2015,57.359
GNQ,2016,57.713
GNQ,2017,58.061
GRC,2013,81.28537
GRC,2014,81.38537
GRC,2015,81.03659
GRC,2016,81.3878
GRC,2017,81.3878
GRD,2013,72.579
GRD,2014,72.503
GRD,2015,72.445
GRD,2016,72.408
GRD,2017,72.388
GRL,2013,71.83049
GRL,2014,71.53841
GRL,2015,71.24634
GTM,2013,72.596
GTM,2014,72.935
GTM,2015,73.25
GTM,2016,73.541
GTM,2017,73.81
GUM,2013,78.649
GUM,2014,78.895
GUM,2015,79.144
GUM,2016,79.391
GUM,2017,79.631
GUY,2013,68.819
GUY,2014,69.049
GUY,2015,69.262
GUY,2016,69.454
GUY,2017,69.624
HKG,2013,83.83171
HKG,2014,83.98049
HKG,2015,84.27805
HKG,2016,84.22683
HKG,2017,84.68049
HND,2013,74.051
HND,2014,74.278
HND,2015,74.495
HND,2016,74.701
HND,2017,74.898
HRV,2013,77.12683
HRV,2014,77.47805
HRV,2015,77.27561
HRV,2016,78.02195
HRV,2017,77.82683
HTI,2013,61.658
HTI,2014,62.069
HTI,2015,62.485
HTI,2016,62.896
HTI,2017,63.29
HUN,2013,75.56585
HUN,2014,75.76341
HUN,2015,75.56829
HUN,2016,76.06341
HUN,2017,76.06341
IDN,2013,70.179
IDN,2014,70.481
IDN,2015,70.768
IDN,2016,71.035
IDN,2017,71.282
IND,2013,67.931
IND,2014,68.286
IND,2015,68.607
IND,2016,68.897
IND,2017,69.165
IRL,2013,80.94878
IRL,2014,81.34878
IRL,2015,81.45366
IRL,2016,81.70488
IRL,2017,81.9561
IRN,2013,75.162
IRN,2014,75.502
IRN,2015,75.796
IRN,2016,76.047
IRN,2017,76.271
IRQ,2013,69.437
IRQ,2014,69.7
IRQ,2015,69.929
IRQ,2016,70.122
IRQ,2017,70.294
ISL,2013,82.06098
ISL,2014,82.86098
ISL,2015,82.46829
ISL,2016,82.20488
ISL,2017,82.20488
ISR,2013,82.0561
ISR,2014,82.15366
ISR,2015,82.05122
ISR,2016,82.40732
ISR,2017,82.60244
ITA,2013,82.69024
ITA,2014,83.09024
ITA,2015,82.5439
ITA,2016,83.2439
ITA,2017,83.2439
JAM,2013,74.01
