country_iso,year,mobile_subscriptions
ECU,1965,0.0
EGY,1965,0.0
ERI,1965,0.0
ESP,1965,0.0
EST,1965,0.0
ETH,1965,0.0
FIN,1965,0.0
FJI,1965,0.0
FRA,1965,0.0
FRO,1965,0.0
FSM,1965,0.0
GAB,1965,0.0
GBR,1965,0.0
GEO,1965,0.0
GHA,1965,0.0
GIB,1965,0.0
GIN,1965,0.0
GMB,1965,0.0
GNB,1965,0.0
GNQ,1965,0.0
GRC,1965,0.0
GRD,1965,0.0
GRL,1965,0.0
GTM,1965,0.0
GUM,1965,0.0
GUY,1965,0.0
HKG,1965,0.0
HND,1965,0.0
HRV,1965,0.0
HTI,1965,0.0
HUN,1965,0.0
IDN,1965,0.0
IND,1965,0.0
IRL,1965,0.0
IRN,1965,0.0
IRQ,1965,0.0
ISL,1965,0.0
ITA,1965,0.0
JAM,1965,0.0
JOR,1965,0.0
JPN,1965,0.0
KAZ,1965,0.0
KEN,1965,0.0
KGZ,1965,0.0
KHM,1965,0.0
KIR,1965,0.0
KNA,1965,0.0
KOR,1965,0.0
KWT,1965,0.0
LAO,1965,0.0
LBN,1965,0.0
LBR,1965,0.0
LBY,1965,0.0
LCA,1965,0.0
LKA,1965,0.0
LSO,1965,0.0
LTU,1965,0.0
LUX,1965,0.0
LVA,1965,0.0
MAC,1965,0.0
MAR,1965,0.0
MCO,1965,0.0
MDA,1965,0.0
MDG,1965,0.0
MDV,1965,0.0
MEX,1965,0.0
MHL,1965,0.0
MKD,1965,0.0
MLI,1965,0.0
MLT,1965,0.0
MMR,1965,0.0
MNG,1965,0.0
MNP,1965,0.0
MOZ,1965,0.0
MRT,1965,0.0
MUS,1965,0.0
MWI,1965,0.0
MYS,1965,0.0
NAM,1965,0.0
NCL,1965,0.0
NER,1965,0.0
NGA,1965,0.0
NIC,1965,0.0
NLD,1965,0.0
NOR,1965,0.0
NPL,1965,0.0
NRU,1965,0.0
NZL,1965,0.0
OMN,1965,0.0
PAK,1965,0.0
PAN,1965,0.0
PER,1965,0.0
PHL,1965,0.0
PNG,1965,0.0
POL,1965,0.0
PRI,1965,0.0
PRK,1965,0.0
PRT,1965,0.0
PRY,1965,0.0
PYF,1965,0.0
QAT,1965,0.0
ROU,1965,0.0
RUS,1965,0.0
RWA,1965,0.0
SDN,1965,0.0
SEN,1965,0.0
SGP,1965,0.0
SLB,1965,0.0
SLE,1965,0.0
SLV,1965,0.0
SOM,1965,0.0
STP,1965,0.0
SUR,1965,0.0
SVK,1965,0.0
SVN,1965,0.0
SWE,1965,0.0
SWZ,1965,0.0
SYC,1965,0.0
SYR,1965,0.0
TCA,1965,0.0
TCD,1965,0.0
TGO,1965,0.0
THA,1965,0.0
TJK,1965,0.0
TKM,1965,0.0
TON,1965,0.0
TTO,1965,0.0
TUN,1965,0.0
TUR,1965,0.0
TUV,1965,0.0
TZA,1965,0.0
UGA,1965,0.0
UKR,1965,0.0
URY,1965,0.0
USA,1965,0.0
UZB,1965,0.0
VCT,1965,0.0
VEN,1965,0.0
VGB,1965,0.0
VIR,1965,0.0
VNM,1965,0.0
VUT,1965,0.0
WSM,1965,0.0
YEM,1965,0.0
ZAF,1965,0.0
ZMB,1965,0.0
ZWE,1965,0.0
ABW,1970,0.0
AFG,1970,0.0
AGO,1970,0.0
ALB,1970,0.0
AND,1970,0.0
ARG,1970,0.0
ARM,1970,0.0
ASM,1970,0.0
ATG,1970,0.0
AUS,1970,0.0
AUT,1970,0.0
AZE,1970,0.0
BDI,1970,0.0
BEL,1970,0.0
BEN,1970,0.0
BFA,1970,0.0
BGD,1970,0.0
BGR,1970,0.0
BHR,1970,0.0
BHS,1970,0.0
BIH,1970,0.0
BLR,1970,0.0
BLZ,1970,0.0
BMU,1970,0.0
BOL,1970,0.0
BRA,1970,0.0
BRB,1970,0.0
BRN,1970,0.0
BTN,1970,0.0
BWA,1970,0.0
CAF,1970,0.0
CAN,1970,0.0
CHE,1970,0.0
CHL,1970,0.0
CHN,1970,0.0
CIV,1970,0.0
CMR,1970,0.0
COD,1970,0.0
COG,1970,0.0
COL,1970,0.0
COM,1970,0.0
CPV,1970,0.0
CRI,1970,0.0
CUB,1970,0.0
CYM,1970,0.0
CYP,1970,0.0
CZE,1970,0.0
DEU,1970,0.0
DJI,1970,0.0
DMA,1970,0.0
DNK,1970,0.0
DOM,1970,0.0
DZA,1970,0.0
ECU,1970,0.0
EGY,1970,0.0
ERI,1970,0.0
ESP,1970,0.0
EST,1970,0.0
ETH,1970,0.0
FIN,1970,0.0
FJI,1970,0.0
FRA,1970,0.0
FRO,1970,0.0
FSM,1970,0.0
GAB,1970,0.0
GBR,1970,0.0
GEO,1970,0.0
GHA,1970,0.0
GIB,1970,0.0
GIN,1970,0.0
GMB,1970,0.0
GNB,1970,0.0
GNQ,1970,0.0
GRC,1970,0.0
GRD,1970,0.0
GRL,1970,0.0
GTM,1970,0.0
GUM,1970,0.0
GUY,1970,0.0
HKG,1970,0.0
HND,1970,0.0
HRV,1970,0.0
HTI,1970,0.0
HUN,1970,0.0
IDN,1970,0.0
IND,1970,0.0
IRL,1970,0.0
IRN,1970,0.0
IRQ,1970,0.0
ISL,1970,0.0
ITA,1970,0.0
JAM,1970,0.0
JOR,1970,0.0
JPN,1970,0.0
KAZ,1970,0.0
KEN,1970,0.0
KGZ,1970,0.0
KHM,1970,0.0
KIR,1970,0.0
KNA,1970,0.0
KOR,1970,0.0
KWT,1970,0.0
LAO,1970,0.0
LBN,1970,0.0
LBR,1970,0.0
LBY,1970,0.0
LCA,1970,0.0
LKA,1970,0.0
LSO,1970,0.0
LTU,1970,0.0
LUX,1970,0.0
LVA,1970,0.0
MAC,1970,0.0
MAR,1970,0.0
MCO,1970,0.0
MDA,1970,0.0
MDG,1970,0.0
MDV,1970,0.0
MEX,1970,0.0
MHL,1970,0.0
MKD,1970,0.0
MLI,1970,0.0
MLT,1970,0.0
MMR,1970,0.0
MNG,1970,0.0
MNP,1970,0.0
MOZ,1970,0.0
MRT,1970,0.0
MUS,1970,0.0
MWI,1970,0.0
MYS,1970,0.0
NAM,1970,0.0
NCL,1970,0.0
NER,1970,0.0
